ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2020-01-02 10:41:11.524457 21654788 PCI 252 EARFCN 38950 39148 None None sib3 True 5 None None TAC 4192 84589 [-666, -666] False False
2020-01-02 10:41:13.741995 227457749 PCI 272 EARFCN 39148 38950 None None sib3 True 5 None None TAC 4192 888506 [-666, -666] False False
2020-01-02 10:41:32.061600 21654788 PCI 252 EARFCN 38950 40936 None None sib3 True 5 None None TAC 4192 84589 [-666, -666] False False
2020-01-02 10:46:17.941592 228326090 PCI 97 EARFCN 38950 40936 None None sib3 True 7 None None TAC 4192 891898 [-666, -666] False False
2020-01-02 10:47:51.860082 228325578 PCI 181 EARFCN 38950 41134 None None sib3 True 7 None None TAC 4192 891896 [-666, -666] False False
2020-01-02 10:59:35.730022 129682563 PCI 18 EARFCN 38950 41134 None None sib3 True 5 None None TAC 4121 506572 [-666, -666] False False
2020-01-02 10:59:54.044097 129682563 PCI 18 EARFCN 38950 41134 None None sib3 True 5 None None TAC 4121 506572 [-666, -666] False False
2020-01-02 11:03:07.708267 126409861 PCI 296 EARFCN 1350 41134 None None sib3 True 4 None None TAC 4566 493788 [-666, -666] False False
2019-07-09 02:57:15.287800 181705359 PCI 497 EARFCN 38098 1300 None None sib3 True 5 None None TAC 34975 709786 [-666, -666] False False
2019-07-09 03:02:14.987100 181706893 PCI 488 EARFCN 38098 1300 None None sib3 True 5 None None TAC 34975 709792 [-666, -666] False False
2019-06-30 14:13:45.809395 112930055 PCI 7 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:13:49.477997 112930061 PCI 7 EARFCN 40936 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:13:50.675227 112930055 PCI 7 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:13:52.189166 112930060 PCI 9 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:13:53.904278 112930055 PCI 7 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:13:55.792009 112930060 PCI 9 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:14:04.741835 112930057 PCI 9 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:14:06.639333 112930060 PCI 9 EARFCN 37900 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:14:09.808187 112930063 PCI 9 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:16:40.032985 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-06-30 12:13:24.808015 112930055 PCI 7 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:33.445373 112930061 PCI 7 EARFCN 40936 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 14:21:23.411518 112938501 PCI 190 EARFCN 38098 37900 None None sib3 True 6 None None TAC 28973 441166 [-666, -666] False False
2019-06-30 14:21:40.440183 112938506 PCI 189 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28973 441166 [-666, -666] False False
2019-06-30 12:17:22.797040 112814854 PCI 182 EARFCN 38098 37900 None None sib3 True 5 None None TAC 28711 440683 [-666, -666] False False
