ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-06-26 15:31:18.858943 49926154 PCI 398 EARFCN 850 9820 None None sib3 True 4 None ATT TAC 19980 195024 [-666, -666] False False
2019-06-26 16:50:10.331455 53847574 PCI 301 EARFCN 66686 2200 None None sib3 True 4 None ATT TAC 16669 210342 [-666, -666] False False
2019-06-26 16:00:13.840109 48904470 PCI 405 EARFCN 2000 5145 None None sib3 True 4 None ATT TAC 19980 191033 [-666, -666] False False
2019-06-26 16:42:48.951721 54234005 PCI 218 EARFCN 9820 5145 None None sib3 True 4 None ATT TAC 16669 211851 [-666, -666] False False
2019-06-26 15:57:00.840118 48904472 PCI 230 EARFCN 2000 5145 None None sib3 True 4 None ATT TAC 19980 191033 [-666, -666] False False
2019-06-26 16:37:54.442040 54234127 PCI 395 EARFCN 5145 2200 None None sib3 True 2 None ATT TAC 16669 211852 [-666, -666] False False
2019-06-26 16:39:06.953135 54234134 PCI 54 EARFCN 66686 2200 None None sib3 True 4 None ATT TAC 16669 211852 [-666, -666] False False
2019-06-26 15:45:17.979461 48902166 PCI 42 EARFCN 2000 1150 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-06-26 15:45:47.214106 48902352 PCI 411 EARFCN 1150 2000 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-06-26 16:47:11.958959 53821712 PCI 43 EARFCN 5110 675 None None sib3 True 2 None ATT TAC 16669 210241 [-666, -666] False False
2019-06-26 16:47:42.539518 53970185 PCI 309 EARFCN 675 5110 None None sib3 True 4 None ATT TAC 16669 210821 [-666, -666] False False
2019-06-26 15:38:15.164062 48902366 PCI 274 EARFCN 2175 2000 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
2019-06-26 15:43:21.129559 48902152 PCI 411 EARFCN 850 2175 None None sib3 True 4 None ATT TAC 19980 191024 [-666, -666] False False
