ts operator freq cid missing_flag_new
2019-06-26 16:30:05.125804 310410 1025 186 True
2019-04-17 23:10:44.650510 el2XL 2175 97 False
2019-04-17 23:10:45.047559 el2XL 2175 97 False
2019-04-17 23:10:45.171680 el2XL 2175 97 False
2019-04-17 23:10:49.989239 el2XL 2175 97 False
2019-04-17 23:10:52.229386 el2XL 2175 97 False
2019-04-17 23:12:45.782952 el2XL 850 97 False
2019-04-17 23:12:46.147075 el2XL 850 97 False
2019-04-17 23:12:51.150311 el2XL 850 97 False
2019-04-17 23:12:52.217027 el2XL 850 97 False
2019-04-17 23:12:52.375752 el2XL 850 181 True
2019-09-14 19:47:41.108328 310120 8763 346 False
2019-09-14 19:47:45.427977 310120 8763 346 False
2019-09-14 19:47:46.001399 310120 8140 323 False
2019-09-14 19:47:53.390523 310120 8140 323 False
2019-09-14 19:47:53.996464 310120 8763 346 False
2019-09-14 19:48:00.573159 310120 8763 346 False
2019-09-14 19:48:01.165463 310120 8763 287 False
2019-09-14 19:48:02.815537 310120 8763 287 False
2019-09-14 19:48:12.272160 310120 40978 287 False
2019-09-14 19:48:15.181922 310120 40978 287 False
2019-09-14 19:48:15.791491 310120 8763 287 False
2019-09-14 19:48:30.845438 310120 8763 287 False
2019-09-14 20:00:01.651968 310120 41374 272 False
2019-09-14 20:00:02.055306 310120 8763 346 False
2019-09-14 20:00:02.631294 310120 8763 36 False
2019-09-14 20:00:09.122711 310120 8763 36 False
2019-09-14 20:00:09.741924 310120 8140 36 False
2019-09-14 19:56:14.960804 310120 41176 263 False
2019-09-14 19:43:25.523427 310120 40978 263 False
2019-09-14 19:43:26.051852 310120 40978 263 False
2019-09-14 19:43:26.561970 310120 40978 263 False
2019-09-14 19:43:27.070861 310120 40978 263 False
2019-09-14 19:43:27.601844 310120 40978 263 False
2019-09-14 19:43:37.461934 310120 40978 263 False
2019-09-14 19:43:38.001823 310120 40978 263 False
2019-09-14 19:43:38.531943 310120 40978 263 False
2019-09-14 19:43:39.080811 310120 40978 263 False
2019-09-14 19:43:39.591823 310120 40978 263 False
2019-09-14 19:43:40.120828 310120 40978 263 False
2019-09-14 19:43:40.671266 310120 40978 263 False
2019-09-14 19:43:41.201302 310120 40978 263 False
2019-09-14 19:43:41.710864 310120 40978 263 False
2019-09-14 19:43:42.241824 310120 40978 263 False
2019-09-14 19:43:42.791334 310120 40978 263 False
2019-09-14 19:43:43.320824 310120 40978 263 False
2019-09-14 19:43:43.831265 310120 40978 263 False
2019-09-14 19:43:44.361821 310120 40978 263 False
2019-09-14 19:43:44.899034 310120 40978 263 False
2019-09-14 19:43:45.440934 310120 40978 263 False
2019-09-14 19:43:45.951251 310120 40978 263 False
2019-09-14 19:43:46.480819 310120 40978 263 False
2019-09-14 19:43:46.990849 310120 40978 263 False
2019-09-14 19:43:47.521277 310120 40978 263 False
2019-09-14 19:43:48.030826 310120 40978 263 False
2019-09-14 19:43:48.560816 310120 40978 263 False
2019-09-14 19:46:42.783953 310120 40978 263 False
2019-09-14 19:46:43.330210 310120 40978 263 False
2019-09-14 19:46:43.900079 310120 40978 263 False
2019-09-14 19:46:44.441714 310120 40978 263 False
2019-09-14 19:46:47.226975 310120 40978 263 False
2019-09-14 19:46:47.640240 310120 41176 263 False
2019-09-14 19:46:49.241939 310120 40978 323 False
2019-09-14 19:46:49.781852 310120 40978 323 False
2019-06-26 16:48:09.669041 310120 8763 388 False
2019-06-26 16:47:51.435305 310120 8763 388 False
2019-06-26 16:48:14.567036 310120 8763 388 False
2019-06-26 16:48:15.145121 310120 8290 388 False
2019-06-26 16:51:07.592683 310120 40978 222 False
2019-06-26 16:51:25.003969 310120 40978 222 False
2019-06-26 16:51:28.084058 310120 40978 222 False
2019-06-26 16:51:29.903126 310120 40978 222 False
2019-06-26 16:51:34.424463 310120 40978 222 False
2019-06-26 16:51:43.184380 310120 40978 222 False
2019-06-26 16:22:26.009085 310120 8665 271 False
2019-06-26 16:22:08.472042 310120 8665 271 False
2019-06-26 16:22:35.829013 310120 8665 271 False
2019-06-26 16:22:36.410796 310120 8665 378 False
2019-06-26 16:22:39.730801 310120 40978 3 False
2019-06-26 16:23:10.212625 310120 8763 271 False
2019-06-26 16:22:52.400327 310120 8763 271 False
2019-06-26 16:22:54.375322 310120 8763 271 False
2019-06-26 16:23:16.036779 310120 8763 332 False
2019-06-26 16:23:16.656935 310120 8763 271 False
2019-06-26 16:23:18.278859 310120 8763 271 False
2019-06-26 16:23:22.553256 310120 8763 332 False
2019-06-26 16:23:23.088190 310120 8763 271 False
2019-06-26 16:23:26.629265 310120 8763 271 False
2019-06-26 16:23:27.240918 310120 8665 271 False
2019-06-26 16:30:54.218263 310120 8665 271 False
2019-06-26 16:30:54.646378 310120 8763 86 False
2019-06-26 16:30:55.205923 310120 8763 258 False
2019-06-26 16:31:07.673326 310120 8763 258 False
2019-06-26 16:31:08.271958 310120 8290 258 False
2019-06-26 16:31:39.403337 310120 8290 258 False
2019-06-26 16:31:43.432148 310120 8290 258 False
2019-06-26 16:31:44.103811 310120 8290 86 False
2019-06-26 16:31:56.153099 310120 8763 86 False
2019-06-26 16:31:56.672031 310120 8763 86 False
2019-06-26 16:28:50.399521 310120 8763 86 False
2019-06-26 16:28:51.011919 310120 8665 258 False
2019-06-26 16:37:06.022982 310120 8290 160 False
2019-06-26 16:37:06.589178 310120 8290 160 False
2019-06-26 16:38:20.074153 310120 8290 160 False
2019-06-26 16:23:58.484048 310120 41176 274 False
2019-06-26 16:24:04.177907 310120 8763 271 False
2019-06-26 16:24:04.703952 310120 8763 271 False
2019-06-26 16:24:23.490471 310120 8763 271 False
2019-06-26 16:24:24.465156 310120 8763 332 False
2019-06-26 16:24:25.048119 310120 8763 271 False
2019-06-26 16:24:30.284560 310120 8763 271 False
2019-06-26 16:24:30.847891 310120 8665 271 False
2019-06-26 16:28:42.107899 310120 8665 271 False
2019-06-26 16:28:42.150930 310120 8665 271 False
2019-06-26 16:38:27.734146 310120 8763 160 False
2019-06-26 16:38:28.296617 310120 8763 160 False
2019-06-26 16:38:29.400785 310120 8763 160 False
2019-06-26 16:39:05.061955 310120 8290 404 False
2019-06-26 16:39:05.679067 310120 8290 404 False
2019-06-26 16:39:14.300846 310120 8290 404 False
2019-06-26 16:39:14.885633 310120 8290 479 False
2019-06-26 16:39:30.397881 310120 8763 160 False
2019-06-26 16:39:30.702672 310120 8763 160 False
2019-06-26 16:39:31.288967 310120 8763 416 False
2019-06-26 16:39:33.922116 310120 8763 416 False
2019-06-26 16:39:34.539059 310120 8763 160 False
2019-06-26 16:39:45.228389 310120 8763 160 False
2019-06-26 16:39:46.513351 310120 8665 404 False
2019-06-26 16:39:52.365012 310120 8763 160 False
2019-06-26 16:39:52.914057 310120 8763 160 False
2019-06-26 16:40:00.264391 310120 8763 160 False
2019-06-26 16:40:02.762129 310120 8763 160 False
2019-06-26 16:40:03.320825 310120 8763 160 False
2019-06-26 16:40:29.349326 310120 40978 57 False
2019-06-26 16:40:30.018052 310120 8665 404 False
2019-06-26 16:40:32.588231 310120 8665 404 False
2019-06-26 16:40:33.255003 310120 8763 160 False
2019-06-26 16:41:01.251405 310120 8763 160 False
2019-06-26 16:41:01.914107 310120 8763 404 False
2019-06-26 16:41:04.386987 310120 8763 404 False
2019-06-26 16:41:04.964178 310120 8763 160 False
2019-06-26 16:41:25.962981 310120 8763 160 False
2019-06-26 16:41:26.565177 310120 8290 160 False
2019-06-26 16:41:36.683044 310120 8290 160 False
2019-06-26 16:41:37.297927 310120 8763 90 False
2019-06-26 16:41:37.880170 310120 8763 160 False
2019-06-26 16:41:41.990489 310120 8763 160 False
2019-06-26 16:41:42.629063 310120 8290 160 False
2019-06-26 16:32:21.228423 310120 40978 274 False
2019-06-26 16:32:21.815755 310120 8763 258 False
2019-06-26 16:32:23.740164 310120 8763 258 False
2019-06-26 16:32:24.321874 310120 8763 86 False
2019-06-26 16:32:45.199507 310120 8763 86 False
2019-06-26 16:32:45.795113 310120 8763 258 False
2019-06-26 16:32:53.548415 310120 8763 258 False
2019-06-26 16:32:59.540887 310120 8763 416 False
2019-06-26 16:32:59.870041 310120 8763 416 False
2019-06-26 16:33:00.417519 310120 8763 86 False
2019-06-26 16:33:11.530427 310120 8763 86 False
2019-06-26 16:33:12.116291 310120 8763 258 False
2019-06-26 16:33:17.184200 310120 8763 258 False
2019-06-26 16:33:17.779227 310120 8763 86 False
2019-06-26 16:33:23.199021 310120 8763 86 False
2019-06-26 16:33:23.824461 310120 8763 258 False
2019-06-26 16:33:29.736302 310120 8763 258 False
2019-04-24 00:48:40.576268 310120 8140 444 False
2019-04-24 00:49:28.035173 310120 41176 283 False
2019-04-24 00:49:36.520160 310120 41176 283 False
2019-04-24 00:49:38.339086 310120 41176 283 False
2019-04-24 00:49:46.034076 310120 41176 283 False
2019-04-24 00:49:46.639199 310120 8140 10 False
2019-04-24 00:49:50.941733 310120 8140 10 False
2019-09-30 00:20:14.120103 310120 40978 422 False
2019-05-06 02:52:47.320176 310120 5035 36 False
2019-05-06 02:52:47.167910 310120 5035 36 False
2019-05-06 02:52:59.353946 310120 5035 36 False
