pcell,freq,thres_b1,thres_a2,count
850-488,2259995_S,-112.0,-96.0,1
5110-21,2259995_S,-112.0,-96.0,1
850-182,2259995_S,-112.0,-96.0,1
850-302,2259995_S,-112.0,-96.0,1
850-411,2259995_S,-112.0,-96.0,1
850-306,2259995_S,-112.0,-96.0,1
850-45,2259995_S,-112.0,-96.0,1
5110-230,2259995_S,-115.0,-96.0,1
5110-230,2259995_S,-115.0,-113.0,1
9820-217,2259995_S,-112.0,-96.0,1
850-417,2259995_S,-112.0,-96.0,1
850-298,2259995_S,-112.0,-96.0,1
850-174,2259995_S,-112.0,-96.0,1
850-383,2259995_S,-112.0,-96.0,1
850-62,2259995_S,-112.0,-96.0,1
850-429,2259995_S,-112.0,-96.0,1
850-151,2259995_S,-112.0,-96.0,1
850-397,2259995_S,-112.0,-96.0,1
9820-177,2259995_S,-112.0,-96.0,1
9820-57,2259995_S,-115.0,-113.0,1
5110-91,2259995_S,-115.0,-96.0,1
5110-91,2259995_S,-115.0,-113.0,1
850-252,2259995_S,-112.0,-96.0,1
850-441,2259995_S,-112.0,-96.0,1
850-330,2259995_S,-112.0,-96.0,1
850-213,2259995_S,-112.0,-96.0,1
850-422,2259995_S,-112.0,-96.0,1
850-329,2259995_S,-112.0,-96.0,1
850-325,2259995_S,-112.0,-96.0,1
850-101,2259995_S,-112.0,-96.0,1
850-369,2259995_S,-112.0,-96.0,1
850-53,2259995_S,-112.0,-96.0,1
850-65,2259995_S,-112.0,-96.0,1
850-218,2259995_S,-112.0,-96.0,1
850-152,2259995_S,-112.0,-96.0,1
850-334,2259995_S,-112.0,-96.0,1
850-497,2259995_S,-112.0,-96.0,1
850-408,2259995_S,-112.0,-96.0,1
850-286,2259995_S,-112.0,-96.0,1
850-67,2259995_S,-112.0,-96.0,1
850-188,2259995_S,-112.0,-96.0,1
850-446,2259995_S,-112.0,-96.0,1
850-406,2259995_S,-112.0,-96.0,1
850-176,2259995_S,-112.0,-96.0,1
850-462,2259995_S,-112.0,-96.0,1
850-203,2259995_S,-112.0,-96.0,1
850-299,2259995_S,-112.0,-96.0,1
850-489,2259995_S,-112.0,-96.0,1
850-404,2259995_S,-112.0,-96.0,1
850-332,2259995_S,-112.0,-96.0,1
850-324,2259995_S,-112.0,-96.0,1
850-83,2259995_S,-112.0,-96.0,1
850-320,2259995_S,-112.0,-96.0,1
850-220,2259995_S,-112.0,-96.0,1
850-208,2259995_S,-112.0,-96.0,1
