carrier,freq,cid,count
310410,675,269,132
310410,675,272,235
310410,5110,406,13
310410,675,439,17
310410,675,380,5
310410,675,18,63
310410,675,79,4
310410,675,332,55
310410,675,257,4
310410,675,431,4
310410,675,236,7
310410,675,448,16
310410,675,354,225
310410,675,155,386
310410,675,425,16
310410,675,397,26
310410,675,194,9
310410,675,389,9
310410,675,392,9
310410,675,193,6
310410,675,497,19
310410,675,173,29
310410,66686,304,10
310410,1150,304,10
310410,66686,154,34
310410,1150,154,48
310410,66686,19,3
310410,1150,19,3
310410,66686,422,3
310410,1150,422,4
310410,66686,383,2
310410,1150,383,2
310410,66686,44,60
310410,1150,44,62
310410,66686,148,2
310410,1150,148,2
310410,1025,383,1
310410,67086,383,2
310410,1550,383,2
310410,67086,285,4
310410,1550,285,4
310410,67086,396,1
310410,1550,396,1
310410,67086,229,1
310410,1550,229,1
310410,67086,97,3
310410,1550,97,4
310410,67086,223,3
310410,1550,223,4
310410,67086,99,2
310410,1550,99,2
310410,5110,54,1
310410,675,97,20
310410,675,99,18
310410,675,440,19
310410,66686,99,2
310410,1150,99,2
310410,66686,440,14
310410,1150,440,16
310410,9840,440,1
310410,67086,410,33
310410,1550,410,47
310410,67086,388,106
310410,1550,388,143
310410,67086,76,135
310410,1550,76,209
310410,67086,258,145
310410,1550,258,199
310410,67086,403,47
310410,1550,403,73
310410,67086,335,71
310410,1550,335,93
310410,67086,273,113
310410,1550,273,156
310410,67086,478,217
310410,1550,478,225
310410,675,273,117
310410,675,43,123
310410,675,372,163
310410,675,464,86
310410,1025,372,3
310410,67086,381,5
310410,1550,381,5
310410,1150,273,84
310410,66686,273,47
310410,66686,478,50
310410,1150,478,59
310410,66686,258,153
310410,1150,258,206
310410,675,258,1034
310410,675,312,2
310410,675,410,298
310410,675,382,2
310410,675,396,5
310410,675,223,6
310410,675,188,9
310410,675,460,37
310410,66686,2,160
310410,1150,2,164
310410,66686,376,56
310410,1150,376,73
310410,66686,104,221
310410,1150,104,252
310410,66686,114,2
310410,1150,114,2
310410,1550,4,21
310410,67086,4,15
310410,675,32,23
310410,675,220,13
310410,675,420,26
310410,675,4,63
310410,66686,237,9
310410,1150,237,12
310410,66686,167,15
310410,1150,167,22
310410,66686,59,28
310410,1150,59,29
310410,66686,332,16
310410,1150,332,18
310410,66686,72,31
310410,1150,72,32
310410,66686,149,9
310410,1150,149,9
310410,66686,53,17
310410,1150,53,24
310410,66686,472,54
310410,1150,472,75
310410,66686,293,30
310410,1150,293,32
310410,66686,336,105
310410,1150,336,125
310410,66686,347,113
310410,1150,347,141
310410,66686,171,74
310410,1150,171,94
310410,66686,441,68
310410,1150,441,99
310410,66686,8,35
310410,1150,8,59
310410,66686,50,11
310410,1150,50,12
310410,66686,195,16
310410,1150,195,20
310410,66686,344,12
310410,1150,344,16
310410,66686,397,6
310410,1150,397,9
310410,675,2,57
310410,675,376,183
310410,675,104,97
310410,675,490,6
310410,675,237,8
310410,66686,307,41
310410,1150,307,52
310410,9820,448,5
310410,9840,435,1
310410,67086,397,2
310410,1550,397,2
310410,66686,425,7
310410,1150,425,8
310410,66686,194,7
310410,1150,194,9
310410,66686,435,12
310410,1150,435,15
310410,66686,260,9
310410,1150,260,11
310410,66686,487,27
310410,1150,487,39
310410,66686,497,13
310410,1150,497,27
310410,66686,256,15
310410,1150,256,24
310410,66686,73,14
310410,1150,73,16
310410,66686,165,27
310410,1150,165,30
310410,66686,343,3
310410,1150,343,3
310410,66686,453,29
310410,1150,453,33
310410,66686,227,12
310410,1150,227,20
310410,66686,233,29
310410,1150,233,33
310410,675,441,107
310410,675,327,107
310410,675,292,28
310410,675,293,65
310410,5110,336,23
310410,9840,336,66
310410,675,185,3
310410,675,219,1
310410,675,1,3
310410,675,336,118
310410,66686,181,1
310410,1150,181,1
310410,66686,1,3
310410,1150,1,3
310410,66686,447,3
310410,1150,447,3
310410,66686,370,1
310410,1150,370,1
310410,1025,370,1
310410,675,370,8
310410,5110,370,1
310410,66686,159,7
310410,1150,159,10
310410,1025,201,9
310410,675,201,569
310410,67086,201,233
310410,1550,201,333
310410,67086,456,39
310410,1550,456,50
310410,67086,451,63
310410,1550,451,81
310410,9840,201,13
310410,9840,451,2
310410,67086,299,16
310410,1550,299,20
310410,67086,60,2
310410,1550,60,2
310410,67086,340,25
310410,1550,340,32
310410,675,391,134
310410,66686,410,184
310410,1150,410,276
310410,66686,354,252
310410,1150,354,320
310410,66686,465,29
310410,1150,465,31
310410,66686,265,96
310410,1150,265,103
310410,66686,350,89
310410,1150,350,105
310410,66686,460,16
310410,1150,460,20
310410,5110,104,34
310410,675,458,14
310410,675,59,42
310410,675,67,55
310410,675,163,54
310410,675,348,114
310410,675,226,72
310410,675,455,74
310410,675,233,36
310410,675,227,20
310410,675,154,37
310410,675,345,26
310410,66686,42,4
310410,1150,42,6
310410,66686,244,2
310410,1150,244,4
310410,66686,369,6
310410,1150,369,8
310410,66686,204,8
310410,1150,204,8
310410,66686,483,2
