carrier,serving_cellset,count
310410,675-269/2256663-67/2258329-67/2259995-67/2261661-67,51
310410,675-269/52740-269/52941-269/53139-269,24
310410,675-272/52740-272/52941-272/53139-272,102
310410,5110-406/675-406/66686-406,4
310410,5110-406/2256663-456/675-406,1
310410,675-439/174270-573/9820-439,5
310410,675-439/174270-269/9820-439,3
310410,675-380/5330-380/66686-380/67086-380,2
310410,675-380/174270-269/1025-380/66686-380/67086-380,1
310410,675-380/174270-572/1025-380/66686-380/67086-380,1
310410,675-18/5330-18/9820-18,2
310410,675-18/174270-572/9820-18,2
310410,675-439/5330-439/9820-439,4
310410,675-439/174270-572/9820-439,2
310410,675-79/52740-79/52941-79/53139-79,1
310410,675-79/174270-572/52740-79/52941-79/53139-79,1
310410,675-79/174270-573/52941-79/53139-79,1
310410,675-380/174270-573/1025-380/66686-380/67086-380,1
310410,675-439/174270-194/9820-439,3
310410,675-332/52740-332/52941-332/53139-332,1
310410,675-332/174270-194/52740-332/52941-332/53139-332,1
310410,675-257/52740-257/52941-257/53139-257,2
310410,675-257/174270-194/53139-257/52941-257/52740-257,2
310410,675-431/5330-119/66686-431/67086-431,2
310410,675-431/174270-194/67086-431/66686-431,1
310410,675-236/5330-236,2
310410,675-236/174270-426,1
310410,675-236/174270-27,2
310410,675-236/174270-490,2
310410,675-448/5330-448/66686-448/67086-448,6
310410,675-448/174270-490/67086-448/66686-448,2
310410,675-448/174270-648/67086-448/66686-448,2
310410,675-354/5330-354/66686-354/67086-354,99
310410,675-354/174270-490/9820-354,2
310410,675-354/174270-648/9820-354,3
310410,675-155/52740-155/52941-155/53139-155,57
310410,675-155/174270-648/52740-155/52941-155/53139-155,3
310410,675-354/174270-873/9820-354,1
310410,675-448/174270-299/9820-448,1
310410,675-425/52740-425/52941-425/53139-425,7
310410,675-425/174270-299/52941-425,1
310410,675-397/5330-397/66686-397/67086-397,8
310410,675-397/174270-299/5330-397/66686-397/67086-397,1
310410,675-397/174270-299/1025-397/9840-397,6
310410,675-425/174270-299/52740-425/52941-425/53139-425,1
310410,675-194/47090-194/47291-194/47489-194,4
310410,675-194/174270-305/47291-194/47090-194/47489-194,1
310410,675-389/52740-389,1
310410,675-389/2256663-863/2258329-863/2259995-863/2261661-863,2
310410,675-389/52740-389/52941-389/53139-389,2
310410,675-389/2256663-863/52740-389/52941-389/53139-389,1
310410,675-389/174270-305/53139-389/52941-389/52740-389,2
310410,675-392/52740-392/52941-392/53139-392,3
310410,675-392/174270-305/52941-392/53139-392/52740-392,1
310410,675-392/174270-778/52941-392/53139-392,1
310410,675-193/52740-269/52941-268,2
310410,675-193/174270-161/52740-269/52941-268,1
310410,675-193/174270-927/52740-269/52941-268,2
310410,675-497/52740-497/52941-497/53139-497,8
310410,675-497/174270-927/52941-497,1
310410,675-497/174270-161/52941-497,1
310410,675-173/5330-173/66686-173/67086-173,12
310410,675-173/174270-161/1025-173/9820-173,5
310410,66686-304/52740-304/52941-304/53139-304,10
310410,1150-304,10
310410,66686-154/675-154/67086-154,17
310410,1150-154,34
310410,66686-154/174270-910/675-154/67086-154,9
310410,66686-19/675-19/5330-19/67086-19,2
310410,1150-19,3
310410,66686-422/52940-422/53141-422/53339-422,2
310410,1150-422,3
310410,66686-383/675-383/5330-383/67086-383,1
310410,1150-383,2
310410,66686-383/174270-31/1025-383/67086-383/675-383,1
310410,66686-44/52740-44/52941-44/53139-44,1
310410,1150-44,62
310410,66686-148/675-148/5330-148/67086-148,1
310410,1150-148,2
310410,66686-148/174270-953/675-148/67086-148,1
310410,1025-383/5330-383/675-383/67086-383,1
310410,67086-383/675-383/5330-383/66686-383,1
310410,1550-383,2
310410,67086-383/174270-953/9840-383/66686-383,1
310410,67086-285/675-285/5330-285/66686-285,2
310410,1550-285,4
310410,67086-285/174270-246/1025-285/675-285/66686-285,1
310410,67086-396/675-396/5330-396/66686-396,1
310410,1550-396,1
310410,67086-229/675-229/5330-229/66686-229,1
310410,1550-229,1
310410,67086-97/675-97/5330-97/66686-97,1
310410,1550-97,3
310410,67086-97/174270-312/1025-97/66686-97/675-97,1
310410,1550-97/174270-312/1025-97/675-97,1
310410,67086-97/174270-741/1025-97/675-97,1
310410,67086-223/675-223/5330-223/66686-223,1
310410,1550-223,3
310410,67086-223/174270-741/66686-223/675-223,1
310410,1550-223/174270-741/66686-223/675-223,1
310410,67086-223/174270-684/66686-223/675-223,1
310410,67086-99/675-99/5330-99/66686-99,1
310410,1550-99,2
310410,67086-99/174270-684/1025-99/66686-99/675-99,1
310410,5110-54,1
310410,675-97,1
310410,675-97/174270-885/67086-97/66686-97/1025-97,1
310410,675-97/174270-296/9840-97,1
310410,675-99/5330-99,1
310410,675-99/174270-296/1025-99/9820-99,3
310410,675-99/174270-885/67086-99/1025-99/66686-99,1
310410,675-440/66686-440/67086-440/5330-440,2
310410,675-440/174270-885/66686-440/67086-440/1025-440,1
310410,675-440/174270-296/66686-440/67086-440/1025-440,1
310410,66686-99/675-99/5330-99/67086-99,1
310410,1150-99,2
310410,66686-99/174270-296/1025-99/67086-99/675-99,1
310410,66686-440/675-440/5330-440/67086-440,6
310410,1150-440,13
