carrier,serving_cellset,count
46000,38950-290,7
46000,37900-56,12
46000,37900-134,10
46000,37900-382,19
46000,38098-382,7
46000,38098-45,12
46000,38098-47,3
46000,1300-378,9
46000,1300-355,21
46000,1300-416,7
46000,1300-219,9
46000,38098-105,21
46000,38098-502,5
46000,38098-501,13
46000,38098-447,49
46000,38098-503,7
46000,40936-447,8
46000,40936-380,10
46000,40936-448,12
46000,40936-379,13
46000,40936-205,18
46000,40936-206,29
46000,40936-156,6
46000,37900-45,15
46000,37900-47,38
46000,1300-221,12
46000,37900-105,29
46000,37900-334,14
46000,37900-502,10
46000,37900-501,27
46000,37900-503,5
46000,1300-220,38
46000,37900-447,66
46000,1300-87,6
46000,1300-89,7
46000,1300-478,4
46000,1300-420,5
46000,1300-118,38
46000,1300-253,1
46000,1300-270,10
46000,1300-271,6
46000,1300-332,2
46000,38098-380,9
46000,38098-448,30
46000,38098-379,10
46000,37900-104,9
46000,37900-269,13
46000,37900-206,5
46000,1300-364,7
46000,38098-206,11
46000,38098-156,13
46000,38098-158,5
46000,38098-157,5
46000,37900-327,5
46000,39148-48,1
46000,38950-288,5
46000,37900-461,5
46000,37900-391,14
46000,1300-177,1
46000,1300-311,8
46000,38098-25,62
46000,37900-25,6
46000,40936-251,3
46000,40936-104,2
46000,40936-430,64
46000,3683-128,9
46000,1300-8,20
46000,1300-382,49
46000,38098-80,11
46000,40936-80,43
46000,40936-78,19
46000,40936-339,3
46000,40936-320,6
46000,40936-407,31
46000,40936-305,4
46000,40936-303,2
46000,1300-143,20
46000,38098-220,28
46000,38098-375,18
46000,1300-267,7
46000,1300-213,6
46000,38098-409,14
46000,38098-410,14
46000,38098-336,5
46000,38098-337,18
46000,38098-87,6
46000,38098-88,14
46000,38098-35,16
46000,38098-18,24
46000,37900-18,32
46000,37900-19,105
46000,37900-402,14
46000,37900-404,29
46000,37900-366,32
46000,37900-310,92
46000,1300-222,4
46000,1300-315,30
46000,37900-311,41
46000,38098-55,13
46000,1300-470,8
46000,1300-464,6
46000,38098-228,15
46000,1300-462,12
46000,38098-230,55
46000,40936-230,6
46000,40936-276,1
46000,1300-208,35
46000,1300-209,2
46000,37900-277,2
46000,1300-452,14
46000,37900-30,11
46000,37900-32,11
46000,40936-32,12
46000,3683-229,7
46000,38098-32,10
46000,38098-221,19
46000,38098-345,9
46000,38098-139,6
46000,1300-450,52
46000,38098-31,40
