carrier,freq,cid,count
311480,176930,309,136090
311480,176930,104,151826
311480,1100,309,97782
311480,1100,104,58919
311480,67086,309,49443
311480,67086,104,96521
311480,66836,309,33692
311480,66836,104,53331
311480,66836,110,99840
311480,1300,309,208
311480,176930,311,51548
311480,66836,232,56661
311480,1100,310,57269
311480,1100,387,74573
311480,56140,236,1154
311480,55942,235,1164
311480,55744,234,1302
311480,2078331,191,13294
311480,2078331,51,21367
311480,Unknown,191,19
311480,66586,232,54164
311480,67086,232,45062
311480,1300,232,304
311480,66586,309,34866
311480,66586,104,55809
311480,66836,112,83156
311480,66586,110,84210
311480,66586,359,98443
311480,66836,359,109743
311480,67086,110,61540
311480,1300,110,490
311480,1100,128,72700
311480,176930,310,78979
311480,2079997,191,7999
311480,2081663,191,8014
311480,2083329,191,8190
311480,66836,56,100746
311480,66586,56,107599
311480,66836,14,153
311480,1300,104,203
311480,66586,112,74758
311480,47489,228,5011
311480,47291,229,6746
311480,47090,230,4355
311480,2078331,189,7883
311480,66836,432,36933
311480,2078331,131,110
311480,Unknown,189,8
311480,2079997,189,6034
311480,2081663,189,6035
311480,2083329,189,6054
311480,47291,226,4754
311480,Unknown,309,92
311480,47090,227,2794
311480,66836,128,59254
311480,66586,128,60970
311480,67086,112,36987
311480,Unknown,104,224
311480,1100,440,21468
311480,1300,112,229
311480,66836,113,67387
311480,1100,62,179109
311480,66836,387,31100
311480,2078331,467,2044
311480,67086,300,1248
311480,66836,111,79219
311480,1100,102,55160
311480,176930,102,99989
311480,176930,103,55966
311480,67086,87,1070
311480,66836,103,26819
311480,67086,103,20362
311480,66836,108,98515
311480,67086,102,56877
311480,67086,108,58047
311480,66586,108,107583
311480,1300,108,284
311480,66836,102,59269
311480,1100,89,958
311480,66586,102,55844
311480,1300,102,217
311480,2078331,466,101
311480,66836,89,36857
311480,66836,184,82373
311480,67086,184,45945
311480,1100,302,1090
311480,1100,184,74861
311480,2078331,7,2767
311480,66586,184,82773
311480,66586,89,44339
311480,66836,226,90260
311480,66586,226,92013
311480,66836,367,587
311480,66836,109,121732
311480,66586,109,129104
311480,66836,148,95815
311480,67086,109,72242
311480,1100,60,166348
311480,1300,109,264
311480,66586,148,113462
311480,1100,226,74555
311480,66836,60,134661
311480,66586,60,125231
311480,66836,30,82689
311480,66586,30,88644
311480,47489,60,15594
311480,47090,60,18182
311480,47291,60,23167
311480,1300,60,221
311480,5230,60,103352
311480,176930,332,9616
