carrier,freq,cid,count
310410,66586,212,67
310410,1050,212,253
310410,66586,148,160
310410,1050,148,351
310410,66586,310,40
310410,1050,310,73
310410,1050,388,97
310410,66586,388,58
310410,1100,310,117
310410,1300,310,38
310410,850,411,73
310410,850,302,456
310410,1400,104,123
310410,66936,104,87
310410,5110,23,113
310410,850,284,89
310410,9820,217,657
310410,850,429,193
310410,850,174,138
310410,850,306,66
310410,850,383,63
310410,66486,261,2
310410,950,261,2
310410,5110,230,84
310410,5110,91,20
310410,5110,372,1
310410,5110,108,1
310410,5110,369,13
310410,1200,59,311
310410,66736,50,83
310410,1200,50,288
310410,66736,57,75
310410,1200,57,341
310410,66736,59,73
310410,1050,110,185
310410,1300,110,370
310410,66586,110,68
310410,66836,110,146
310410,1050,56,194
310410,5110,430,83
310410,850,182,127
310410,850,446,81
310410,850,406,134
310410,850,462,226
310410,850,441,133
310410,850,176,120
310410,850,330,148
310410,850,39,35
310410,66586,61,239
310410,1050,61,376
310410,66586,359,124
310410,1050,359,223
310410,66586,56,108
310410,66586,31,52
310410,1050,31,71
310410,66586,89,20
310410,1050,89,32
310410,66586,23,52
310410,1050,23,70
310410,66586,15,80
310410,1050,15,111
310410,66586,22,25
310410,1050,22,64
310410,850,298,65
310410,5110,478,25
310410,850,324,130
310410,1050,211,9
310410,66586,211,5
310410,1400,244,191
310410,66936,244,127
310410,66586,217,20
310410,1050,217,40
310410,66586,39,21
310410,1050,39,32
310410,677,98,179
310410,677,227,13
310410,677,226,101
310410,677,96,138
310410,66586,10,1
310410,1050,10,1
310410,66586,113,95
310410,1050,113,173
310410,1050,108,139
310410,66586,108,63
310410,66586,112,27
310410,1050,112,40
310410,1300,112,46
310410,66836,112,22
310410,1300,113,497
310410,66836,113,247
310410,66836,148,66
310410,1300,148,106
310410,66836,62,52
310410,1300,62,79
310410,66836,60,22
310410,1300,60,63
310410,66836,111,52
310410,1300,111,141
310410,66586,62,15
310410,1050,62,24
310410,66586,60,51
310410,1050,60,131
310410,1050,111,99
310410,1050,109,349
310410,66586,111,50
310410,5230,3,10
310410,67086,405,5
310410,1550,405,8
310410,1100,62,83
310410,5230,126,10
310410,67086,255,2
310410,1550,255,3
310410,1550,110,114
310410,67086,110,45
310410,850,488,140
310410,5110,21,151
310410,677,81,40
310410,1475,437,70
310410,1200,12,162
310410,5230,310,44
310410,67086,310,52
310410,1550,310,63
310410,677,85,98
310410,1200,70,255
310410,1475,0,63
310410,5110,323,22
310410,1200,151,267
310410,1475,129,14
310410,677,47,171
310410,1200,152,553
310410,1200,13,535
310410,66736,13,97
310410,66736,152,82
310410,1300,217,5
310410,5230,387,2
310410,1100,96,23
310410,677,101,17
310410,66586,109,206
310410,1300,109,125
310410,66836,109,69
310410,850,288,128
310410,5110,36,56
310410,66936,44,9
310410,1400,44,12
310410,66936,275,5
310410,1400,275,5
310410,9820,61,19
310410,677,84,54
310410,1475,107,19
310410,39874,101,4
310410,39874,228,2
310410,67011,129,2
310410,1300,39,2
310410,67086,233,3
310410,1550,233,3
310410,5230,127,8
310410,66586,127,9
310410,1050,127,16
310410,5230,309,25
310410,677,46,151
310410,677,76,71
310410,677,82,199
310410,1475,4,79
310410,1475,114,31
310410,67011,107,11
310410,67011,114,7
310410,850,362,13
310410,9820,164,15
310410,5110,267,12
310410,5230,435,2
310410,66586,3,3
310410,1050,3,3
310410,66836,217,1
310410,5230,128,11
310410,1100,128,16
310410,66936,202,15
310410,1400,202,15
310410,1050,232,106
310410,66586,232,48
310410,66586,104,7
310410,1050,104,11
310410,5230,104,13
310410,66836,104,35
310410,1300,104,65
310410,66836,310,23
310410,66836,388,10
310410,1300,388,13
310410,66836,212,14
310410,1300,212,22
310410,66836,232,80
310410,1300,232,155
310410,66836,108,32
310410,1300,108,81
310410,677,365,56
310410,677,45,15
310410,66736,473,36
310410,1200,473,231
310410,66836,127,17
310410,1300,127,41
310410,2561,127,8
310410,66586,128,1
310410,1050,128,1
310410,66586,216,6
310410,1050,216,6
310410,66586,40,4
310410,1050,40,5
310410,66736,12,15
310410,39874,53,1
310410,39874,49,4
310410,67011,4,19
310410,67011,437,8
310410,850,156,46
310410,850,417,35
310410,850,151,21
310410,850,291,1
310410,850,474,11
310410,850,262,1
310410,66661,436,2
310410,1125,436,2
310410,9820,177,6
310410,9820,224,4
310410,9820,426,1
310410,850,209,8
310410,850,62,95
310410,66486,502,1
310410,950,502,1
310410,66486,388,3
310410,950,388,5
310410,66486,159,1
310410,950,159,2
310410,66486,323,2
310410,950,323,3
310410,9820,57,155
310410,5110,105,7
310410,850,345,3
310410,850,397,10
310410,850,303,35
310410,1550,108,159
310410,1550,109,147
310410,67086,109,72
310410,67086,108,77
310410,1550,111,66
310410,67086,111,28
310410,67086,148,22
310410,1550,148,50
310410,850,49,32
310410,850,309,27
310410,67086,113,41
310410,1550,113,79
310410,1100,309,37
310410,1100,104,6
310410,1100,439,4
310410,66736,151,26
310410,66586,407,33
310410,1050,407,39
310410,850,45,38
310410,1200,145,157
310410,39874,321,4
310410,1200,150,72
310410,66736,145,25
310410,67086,211,1
310410,1550,211,2
310410,66936,360,7
310410,1400,360,8
310410,1400,89,2
310410,5110,376,1
310410,67086,112,4
310410,1550,112,5
310410,67086,232,4
310410,1550,232,11
310410,1550,128,4
310410,1550,104,2
310410,67086,104,1
310410,67086,128,1
310410,5330,265,4
310410,5330,59,2
310410,5330,266,1
310410,5330,439,2
310410,66736,150,17
310410,1200,69,169
310410,66736,69,51
310410,1550,102,5
310410,67086,102,1
310410,950,64,2
310410,66486,64,1
310410,9820,400,11
310410,5110,185,17
310410,66936,185,8
310410,1400,185,8
310410,850,143,38
310410,67086,127,3
310410,1550,127,9
310410,1300,22,37
310410,66836,22,4
310410,66661,6,2
310410,1125,6,2
310410,66936,196,3
310410,1400,196,8
310410,850,252,207
310410,850,155,12
310410,1475,222,33
310410,1200,58,155
310410,9820,147,8
310410,66936,467,4
310410,1400,467,6
310410,1200,49,127
310410,1300,359,166
310410,66836,359,61
310410,1100,127,20
310410,40072,7,2
310410,1300,56,36
310410,850,213,58
310410,850,422,47
310410,850,329,42
310410,850,325,5
310410,850,101,4
310410,850,369,7
310410,850,53,4
310410,850,65,5
310410,850,218,9
310410,850,152,48
310410,850,334,100
310410,850,497,63
310410,66936,321,1
310410,1400,321,1
310410,850,408,5
310410,850,286,5
310410,850,410,3
310410,5110,242,1
310410,5110,317,2
310410,66736,58,27
310410,1300,226,1
310410,66836,102,3
310410,1300,102,4
310410,850,299,52
310410,66586,96,7
310410,1050,96,8
310410,66586,437,1
310410,1050,437,1
310410,66586,436,8
310410,1050,436,10
310410,66586,257,17
310410,1050,257,23
310410,1050,97,13
310410,1050,180,9
310410,1050,74,9
310410,1050,255,20
310410,66586,97,7
310410,66586,255,13
310410,66586,180,2
310410,66586,74,2
310410,1400,324,4
310410,850,17,2
310410,850,107,1
310410,66586,63,9
310410,1050,63,11
310410,66586,341,30
310410,1050,341,62
310410,66586,34,6
310410,1050,34,8
310410,66586,339,7
310410,1050,339,13
310410,66586,59,5
310410,1050,59,6
310410,66586,17,8
310410,1050,17,27
310410,2561,341,12
310410,2561,339,1
310410,67011,275,1
310410,1475,275,1
310410,66736,144,5
310410,1200,144,15
310410,66736,91,3
310410,1200,91,7
310410,66736,231,2
310410,1200,231,6
310410,66736,362,1
310410,1200,362,3
310410,677,367,4
310410,677,75,19
310410,677,222,1
310410,66586,225,2
310410,1050,225,2
310410,66586,226,3
310410,1050,226,4
310410,66586,119,8
310410,1050,119,9
310410,66586,184,12
310410,1050,184,15
310410,66736,49,23
310410,950,443,41
310410,66486,443,26
310410,677,240,4
310410,677,86,5
310410,677,97,40
310410,39874,225,5
310410,67011,45,3
310410,1475,45,5
310410,67011,145,7
310410,1475,145,12
310410,40072,220,1
310410,40072,225,5
310410,67011,0,15
310410,66736,71,13
310410,1200,71,55
310410,66736,70,26
310410,66736,95,4
310410,1200,95,4
310410,66736,90,3
310410,1200,90,3
310410,66736,380,1
310410,1200,380,1
310410,1200,48,19
310410,66736,48,2
310410,66736,389,4
310410,1200,389,55
310410,677,225,5
310410,1475,281,36
310410,67011,346,6
310410,1475,346,23
310410,67011,281,1
310410,66586,126,3
310410,1050,126,3
310410,66586,233,11
310410,1050,233,15
310410,66586,218,4
310410,1050,218,5
310410,66586,9,4
310410,1050,9,11
310410,66586,32,1
310410,1050,32,1
310410,66586,309,5
310410,1050,309,8
310410,66586,387,2
310410,1050,387,3
310410,66586,311,18
310410,1050,311,21
310410,66586,389,4
310410,1050,389,4
310410,66586,5,2
310410,1050,5,2
310410,66586,4,1
310410,1050,4,1
310410,66486,269,4
310410,950,269,7
310410,850,78,10
310410,850,499,3
310410,850,177,1
310410,850,215,2
310410,677,79,8
310410,677,489,2
310410,1200,490,38
310410,66736,237,4
310410,1200,237,17
310410,1200,478,6
310410,66736,490,6
310410,1200,14,36
310410,66736,478,1
310410,66736,14,5
310410,67011,38,7
310410,1475,38,24
310410,66836,255,4
310410,1300,255,7
310410,66836,40,2
310410,1300,40,9
310410,5230,40,2
310410,5230,255,1
310410,9820,265,2
310410,1100,407,111
310410,1100,387,2
310410,5230,257,2
310410,5230,437,1
310410,5230,436,1
310410,66836,257,11
310410,1300,257,23
310410,66836,97,12
310410,1300,97,40
310410,66836,180,4
310410,1300,180,8
310410,66836,74,4
310410,1300,74,8
310410,66836,436,9
310410,1300,436,11
310410,66836,437,1
310410,1300,437,2
310410,66586,30,44
310410,1050,30,52
310410,66586,16,1
310410,1050,16,1
310410,677,83,20
310410,677,358,13
310410,677,366,2
310410,66736,355,2
310410,1200,355,23
310410,1475,432,41
310410,39874,45,1
310410,67011,432,1
310410,67011,222,8
310410,677,488,12
310410,1100,388,83
310410,850,358,11
310410,5110,243,3
310410,9820,77,15
310410,850,60,2
310410,850,206,2
310410,66936,407,15
310410,1400,407,21
310410,66936,503,1
310410,1400,503,1
310410,850,407,10
310410,850,444,139
310410,850,67,113
310410,66936,304,1
310410,1400,304,1
310410,5110,428,2
310410,850,295,1
310410,850,363,1
310410,850,278,1
310410,850,203,6
310410,850,52,13
310410,850,168,3
310410,850,416,6
310410,850,214,16
310410,5110,274,2
310410,5230,407,4
310410,5230,388,3
310410,67086,407,5
310410,1550,407,10
310410,67086,59,4
310410,1550,59,9
310410,67086,309,1
310410,1550,309,3
310410,67086,311,1
310410,1550,311,3
310410,1100,341,47
310410,1100,126,89
310410,1100,405,80
310410,1100,255,19
310410,1100,311,9
310410,66836,309,33
310410,1300,309,71
310410,66836,311,34
310410,1300,311,38
310410,66836,432,36
310410,1300,432,73
310410,66836,5,1
310410,1300,5,1
310410,66836,96,1
310410,1300,96,1
310410,66836,389,1
310410,1300,389,3
310410,66836,387,18
310410,1300,387,31
310410,850,188,9
310410,850,148,14
310410,850,318,30
310410,850,357,13
310410,850,380,13
310410,850,354,4
310410,850,323,7
310410,850,91,10
310410,5110,184,1
310410,5110,313,2
