carrier,freq,cid,count
310410,66586,212,80
310410,66836,212,42
310410,67086,212,96
310410,1050,212,253
310410,176930,59,86
310410,67086,405,202
310410,176930,405,195
310410,176930,407,211
310410,66586,148,218
310410,67086,148,212
310410,1050,148,351
310410,176930,310,366
310410,66586,310,76
310410,66836,310,74
310410,1100,310,289
310410,1050,310,73
310410,1050,388,97
310410,66836,108,276
310410,67086,108,269
310410,66586,388,151
310410,1100,388,188
310410,66836,388,180
310410,5230,388,60
310410,66836,148,208
310410,67086,310,88
310410,176930,309,368
310410,47090,227,64
310410,56442,238,67
310410,56640,239,66
310410,56293,237,67
310410,47489,225,65
310410,47291,226,65
310410,1300,310,38
310410,850,411,73
310410,53139,273,20
310410,2259995,818,38
310410,2261661,818,37
310410,2263327,818,37
310410,2264993,818,37
310410,850,302,456
310410,53139,39,213
310410,2259995,944,203
310410,2261661,944,200
310410,2263327,944,200
310410,2264993,944,200
310410,52740,38,213
310410,52941,189,206
310410,52941,218,22
310410,52740,426,18
310410,1400,104,123
310410,66936,104,198
310410,174270,704,283
310410,850,284,226
310410,5110,23,183
310410,2259999,6,34
310410,9820,217,669
310410,850,182,581
310410,66486,64,210
310410,66936,202,125
310410,850,429,193
310410,2259995,288,74
310410,2261661,288,58
310410,2263327,288,58
310410,2264993,288,58
310410,850,174,138
310410,52740,178,56
310410,52941,396,57
310410,53139,397,57
310410,2259995,593,68
310410,2261661,593,59
310410,2263327,593,59
310410,2264993,593,59
310410,850,306,66
310410,52740,353,42
310410,52941,33,47
310410,53139,358,37
310410,850,383,86
310410,5110,369,43
310410,66486,261,35
310410,66936,360,33
310410,950,261,2
310410,52740,317,107
310410,52941,32,107
310410,53139,310,107
310410,5110,230,96
310410,850,298,111
310410,66486,159,81
310410,66936,321,82
310410,5110,91,20
310410,850,291,19
310410,66486,388,15
310410,66936,89,15
310410,5110,372,1
310410,5110,108,1
310410,850,498,1
310410,174270,667,97
310410,1200,59,311
310410,519630,805,505
310410,66736,50,84
310410,1200,50,288
310410,519630,840,504
310410,66736,57,108
310410,1200,57,341
310410,66736,59,104
310410,677,227,64
310410,677,96,232
310410,1050,110,185
310410,2078331,314,164
310410,66836,110,335
310410,67086,110,375
310410,1100,309,669
310410,1300,110,370
310410,66586,110,363
310410,1050,56,194
310410,5110,430,306
310410,174270,602,356
310410,850,446,81
310410,2259995,524,31
310410,2261661,524,26
310410,2263327,524,26
310410,2264993,524,26
310410,52740,267,41
310410,52941,66,56
310410,53139,82,54
310410,850,406,134
310410,53139,284,51
310410,2259995,986,52
310410,2261661,986,47
310410,2263327,986,47
310410,2264993,986,47
310410,850,462,226
310410,52941,301,56
310410,52740,300,50
310410,53139,302,57
310410,2259995,0,72
310410,174270,741,231
310410,850,441,133
310410,52740,79,71
310410,52941,80,73
310410,53139,81,71
310410,850,176,120
310410,52740,170,41
310410,52941,271,47
310410,53139,272,41
310410,174270,634,42
310410,850,330,148
310410,53341,39,17
310410,2259995,131,109
310410,2261661,131,90
310410,2263327,131,90
310410,2264993,131,90
310410,174270,453,70
310410,52941,283,52
310410,850,39,35
310410,53341,357,9
