carrier,freq,cid,count
311480,66586,366,6
311480,1000,366,35
311480,2585,366,17
311480,66586,368,9
311480,1000,368,13
311480,2585,368,8
311480,66586,171,33
311480,5230,171,5
311480,66586,113,2
311480,65535,113,6
311480,1000,113,3
311480,66586,118,6
311480,2585,118,4
311480,1000,118,11
311480,5230,118,15
311480,5230,366,6
311480,66586,294,15
311480,5230,294,4
311480,66586,145,16
311480,5230,145,2
311480,66586,186,14
311480,66586,109,23
311480,66586,277,25
311480,1000,277,24
311480,66586,110,4
311480,66586,278,2
311480,1000,278,46
311480,66586,1,23
311480,65535,278,25
311480,1000,1,20
311480,1000,117,47
311480,65535,117,8
311480,1000,250,88
311480,65535,250,89
311480,1000,140,118
311480,65535,140,294
311480,65535,277,19
311480,1000,73,45
311480,66586,73,60
311480,65535,73,47
311480,66586,74,17
311480,65535,74,34
311480,1000,74,40
311480,1000,72,46
311480,65535,72,69
311480,1000,2,10
311480,66586,427,4
311480,66586,257,28
311480,1000,257,49
311480,65535,257,40
311480,1000,78,20
311480,1000,242,38
311480,65535,242,20
311480,1000,240,43
311480,65535,240,13
311480,1000,98,79
311480,65535,98,31
311480,1000,89,35
311480,65535,89,38
311480,1000,88,37
311480,65535,88,41
311480,1000,,,204
311480,1000,97,17
311480,65535,97,15
311480,1000,380,10
311480,65535,380,4
311480,1000,29,10
311480,65535,29,21
311480,1000,378,38
311480,65535,378,16
311480,1000,28,10
311480,65535,28,14
311480,1000,170,11
311480,65535,170,13
311480,1000,169,5
311480,65535,169,5
311480,1000,309,31
311480,65535,309,7
311480,1000,269,16
311480,65535,269,7
311480,1000,268,18
311480,65535,268,5
311480,1000,86,18
311480,65535,86,35
311480,1000,84,26
311480,65535,84,23
311480,1000,87,33
311480,65535,87,23
311480,1000,263,23
311480,65535,263,21
311480,1000,147,13
311480,65535,147,13
311480,1000,96,112
311480,65535,96,77
311480,1000,326,11
311480,65535,326,12
311480,1000,325,10
311480,65535,325,28
311480,1000,324,5
311480,65535,324,6
311480,1000,253,20
311480,65535,253,21
311480,1000,254,13
311480,1000,252,14
311480,65535,252,10
311480,1000,131,23
311480,65535,131,2
311480,1000,130,39
311480,65535,130,13
311480,1000,305,21
311480,65535,305,5
311480,1000,303,21
311480,65535,303,9
311480,1000,154,18
311480,65535,154,9
311480,1000,300,56
311480,65535,300,20
311480,1000,270,63
311480,1000,348,38
311480,1000,244,30
311480,1000,119,2
311480,1000,294,19
311480,65535,270,43
311480,1000,135,53
311480,65535,135,129
311480,1000,137,14
311480,65535,137,19
311480,1000,336,27
311480,65535,336,25
311480,1000,234,26
311480,65535,234,26
311480,1000,421,18
311480,65535,421,7
311480,1000,288,24
311480,65535,288,26
311480,1000,323,42
311480,65535,323,25
311480,1000,264,12
311480,1000,55,24
311480,1000,133,44
311480,65535,133,32
311480,65535,55,19
311480,66586,336,5
311480,66586,421,8
311480,66586,264,8
311480,65535,264,10
311480,66586,285,5
311480,65535,285,4
311480,1000,285,2
311480,66586,287,8
311480,65535,287,5
311480,1000,287,6
311480,66586,114,5
311480,1000,114,2
311480,66586,115,6
311480,1000,115,2
311480,66586,116,27
311480,1000,116,8
311480,66586,183,20
311480,1000,183,85
311480,66586,343,5
311480,65535,343,238
311480,1000,343,15
311480,65535,184,33
311480,65535,183,60
311480,65535,,,94
311480,66586,184,9
311480,1000,184,34
311480,66586,26,25
311480,65535,26,25
311480,1000,26,19
311480,1000,34,29
311480,65535,34,15
311480,1000,330,13
311480,65535,330,12
311480,1000,35,7
311480,65535,35,12
311480,1000,331,13
311480,65535,331,12
311480,1000,332,38
311480,65535,332,36
311480,1000,141,32
311480,65535,141,8
311480,1000,142,13
311480,65535,142,4
311480,1000,143,21
311480,65535,143,7
311480,1000,216,58
311480,65535,216,31
311480,1000,217,31
311480,65535,217,11
311480,1000,218,26
311480,65535,218,11
311480,1000,91,40
311480,65535,91,18
311480,1000,92,38
311480,65535,92,12
311480,1000,160,11
311480,65535,160,6
311480,1000,108,5
311480,65535,108,6
311480,1000,186,13
311480,65535,186,7
311480,1000,110,7
311480,65535,110,1
311480,1000,124,20
311480,65535,124,21
311480,1000,272,32
311480,65535,272,56
311480,1000,271,18
311480,1000,223,2
311480,1000,104,7
311480,1000,338,29
311480,1000,302,69
311480,65535,302,39
311480,66586,37,34
311480,65535,37,50
311480,1000,37,50
311480,66586,302,23
311480,66586,300,10
311480,66586,125,38
311480,1000,125,23
311480,66586,433,25
311480,1000,433,16
311480,66586,224,19
311480,1000,224,24
311480,65535,224,13
311480,65535,244,9
311480,65535,125,18
311480,1000,123,12
311480,65535,123,3
311480,66586,130,4
311480,66586,162,12
311480,1000,162,35
311480,65535,162,19
311480,1000,163,25
311480,65535,163,8
311480,1000,276,7
311480,65535,276,11
311480,1000,301,77
311480,65535,301,114
311480,1000,65,16
311480,65535,65,9
311480,66586,369,21
311480,1000,369,8
311480,65535,369,6
311480,66586,34,12
311480,66586,72,20
311480,66586,220,13
311480,1000,220,13
311480,65535,220,16
311480,66586,221,1
311480,1000,221,4
311480,66586,219,4
311480,1000,219,7
311480,65535,221,2
311480,65535,265,22
311480,66586,266,6
311480,1000,266,4
311480,66586,265,19
311480,1000,265,12
311480,66586,191,18
311480,66586,190,3
311480,66586,320,17
311480,1000,320,1
311480,66586,319,6
311480,1000,319,12
311480,65535,319,7
311480,66586,129,15
311480,1000,129,4
311480,66586,158,11
311480,65535,158,3
311480,1000,158,8
311480,66586,157,7
311480,65535,157,18
311480,1000,157,20
311480,1000,243,12
311480,65535,243,4
311480,1000,245,6
311480,65535,245,3
311480,1000,161,6
311480,65535,161,7
311480,1000,274,2
311480,66586,301,37
311480,66586,293,27
311480,65535,293,40
311480,1000,293,68
311480,66586,64,26
311480,1000,64,10
311480,65535,64,6
311480,65535,1,4
311480,66586,272,27
311480,66586,263,21
311480,66586,58,6
311480,1000,58,3
311480,66586,166,3
311480,66586,167,8
311480,66586,76,52
311480,65535,76,43
311480,1000,76,35
311480,66586,123,41
311480,66586,238,6
311480,1000,238,17
311480,66586,239,2
311480,1000,239,22
311480,65535,239,15
311480,66586,237,13
311480,1000,237,22
311480,66586,322,18
311480,1000,322,32
311480,66586,323,7
311480,66586,164,7
311480,65535,164,13
311480,1000,164,15
311480,66586,202,19
311480,65535,202,22
311480,1000,202,35
311480,66586,203,12
311480,65535,203,24
311480,1000,203,38
311480,66586,209,8
311480,1000,209,14
311480,66586,444,9
311480,1000,207,34
311480,66586,207,18
311480,65535,207,6
311480,66586,217,15
311480,66586,216,28
311480,66586,106,5
311480,1000,106,22
311480,66586,107,35
311480,1000,107,14
311480,66586,105,22
311480,1000,105,13
311480,66586,187,10
311480,66586,140,6
311480,66586,108,3
311480,66586,235,8
311480,65535,235,24
311480,1000,235,11
311480,66586,86,12
311480,66586,234,8
311480,66586,,,17
311480,66586,342,5
311480,1000,342,7
311480,66586,127,9
311480,1000,127,28
311480,66586,126,13
311480,1000,126,18
311480,66586,124,23
311480,66586,102,7
311480,66586,88,18
311480,66586,62,9
311480,1000,62,3
311480,66586,87,37
311480,65535,156,3
311480,66586,156,6
311480,1000,156,6
311480,66586,91,12
311480,1000,33,42
311480,1000,422,7
311480,65535,422,1
311480,1000,175,26
311480,65535,175,3
311480,1000,427,29
311480,1000,90,19
311480,1000,68,30
311480,65535,68,1
311480,1000,352,27
311480,65535,352,15
311480,1000,329,31
311480,66586,327,14
311480,66586,269,5
311480,66586,267,4
311480,65535,267,3
311480,1000,267,9
311480,66586,104,8
311480,1000,102,13
311480,66586,270,7
311480,66586,48,2
311480,1000,48,6
311480,66586,376,8
311480,65535,376,9
311480,1000,376,17
311480,66586,375,13
311480,65535,375,8
311480,1000,375,18
311480,66586,134,5
311480,1000,134,27
311480,66586,133,5
311480,66586,55,14
311480,66586,132,46
311480,1000,132,36
311480,65535,134,15
311480,65535,45,27
311480,66586,47,4
311480,1000,47,10
311480,66586,417,5
311480,1000,417,9
311480,66586,45,70
311480,1000,45,30
311480,66586,60,13
311480,65535,60,8
311480,1000,60,7
311480,66586,194,12
311480,66586,81,10
311480,66586,193,7
311480,66586,83,4
311480,66586,448,3
311480,1000,448,5
311480,66586,345,5
311480,1000,345,2
311480,66586,346,2
311480,1000,346,1
311480,66586,338,14
311480,66586,332,42
311480,66586,367,4
311480,1000,367,2
311480,66586,333,11
311480,1000,333,5
311480,66586,53,15
311480,1000,53,7
311480,66586,98,9
311480,66586,381,16
311480,1000,381,10
311480,66586,218,24
311480,65535,198,15
311480,65535,387,4
311480,66586,387,3
311480,1000,387,5
311480,66586,198,9
311480,66586,200,2
311480,66586,388,5
311480,1000,388,7
311480,66586,347,5
311480,1000,347,3
311480,65535,338,15
311480,65535,333,4
311480,65535,159,9
311480,66586,199,18
311480,66586,250,17
311480,66586,249,1
311480,65535,249,3
311480,1000,249,5
311480,66586,251,14
311480,65535,251,13
311480,1000,251,18
311480,65535,105,20
311480,66586,165,29
311480,1000,165,8
311480,66586,84,20
311480,66586,352,19
311480,66586,148,1
311480,1000,148,10
311480,66586,315,14
311480,1000,315,6
311480,65535,315,3
311480,1000,167,2
311480,66586,16,2
311480,1000,16,1
311480,66586,258,5
311480,1000,258,44
311480,66586,260,4
311480,1000,260,32
311480,66586,357,17
311480,65535,357,8
311480,1000,357,24
311480,66586,358,11
311480,65535,358,9
311480,1000,358,12
311480,66586,231,18
311480,1000,231,19
311480,65535,109,12
311480,1000,109,16
311480,66586,233,27
311480,1000,233,30
311480,66586,232,40
311480,1000,232,43
311480,66586,85,6
311480,65535,85,15
311480,1000,85,14
311480,66586,153,3
311480,1000,153,4
311480,65535,153,5
311480,66586,353,4
311480,66586,154,2
311480,66586,57,18
311480,65535,57,8
311480,1000,57,12
311480,66586,59,11
311480,65535,59,16
311480,1000,59,8
311480,66586,276,2
311480,66586,211,32
311480,1000,211,19
311480,66586,210,8
311480,1000,210,14
311480,66586,212,17
311480,1000,212,7
311480,66586,248,2
311480,65535,248,2
311480,1000,248,1
311480,66586,66,3
311480,1000,66,9
311480,66586,67,4
311480,1000,67,12
311480,66586,122,14
311480,65535,122,41
311480,1000,122,37
311480,1000,194,9
311480,66586,362,6
311480,66586,195,1
311480,66586,174,9
311480,1000,174,19
311480,66586,176,6
311480,1000,176,10
311480,66586,259,14
311480,66586,384,1
311480,65535,384,8
311480,1000,384,10
311480,66586,385,17
311480,65535,385,40
311480,1000,385,26
311480,66586,386,2
311480,65535,386,17
311480,1000,386,28
311480,1000,327,29
311480,66586,329,4
311480,65535,329,14
311480,1000,41,12
311480,65535,41,21
311480,1000,40,18
311480,65535,40,26
311480,1000,39,28
311480,65535,39,18
311480,1000,349,25
311480,66586,61,10
311480,66586,348,58
311480,66586,75,26
311480,66586,77,29
311480,66586,50,6
311480,1000,50,4
311480,66586,49,5
311480,1000,49,4
311480,66586,31,38
311480,66586,350,26
311480,66586,30,25
311480,65535,31,8
311480,65535,30,25
311480,66586,32,32
311480,66586,349,28
311480,66586,240,14
311480,66586,242,3
311480,65535,427,10
311480,1000,283,15
311480,66586,243,3
311480,65535,283,14
311480,1000,112,18
311480,65535,112,4
311480,1000,43,30
311480,65535,43,14
311480,1000,139,28
311480,65535,139,4
311480,1000,442,15
311480,65535,442,4
311480,1000,409,19
311480,65535,409,3
311480,1000,198,3
311480,65535,327,16
311480,1000,213,17
311480,65535,213,9
311480,1000,82,13
311480,65535,82,7
311480,1000,83,29
311480,65535,83,11
311480,1000,30,8
311480,1000,32,20
311480,65535,32,8
311480,1000,172,11
311480,65535,172,22
311480,66586,97,9
311480,66586,307,9
311480,66586,306,3
311480,1000,192,8
311480,66586,297,2
311480,65535,297,2
311480,1000,297,5
311480,66586,298,6
311480,65535,298,7
311480,1000,298,7
311480,66586,63,7
311480,66586,65,8
311480,66586,51,2
311480,1000,51,8
311480,66586,38,7
311480,1000,38,6
311480,66586,360,9
311480,66586,361,26
311480,66586,182,9
311480,65535,182,109
311480,1000,182,58
311480,66586,119,16
311480,66586,117,13
311480,66586,181,7
311480,65535,181,12
311480,1000,181,36
311480,66586,54,5
311480,65535,54,17
311480,1000,54,25
311480,66586,152,7
311480,65535,152,9
311480,1000,152,4
311480,66586,151,11
311480,65535,151,11
311480,65535,77,32
311480,1000,77,35
311480,66586,355,6
311480,1000,355,5
311480,66586,331,5
311480,66586,169,3
311480,66586,170,8
311480,66586,318,10
311480,1000,318,10
311480,66586,25,5
311480,65535,25,9
311480,1000,25,9
311480,66586,24,3
311480,65535,24,12
311480,1000,24,18
311480,66586,316,4
311480,1000,316,4
311480,1000,284,15
311480,65535,284,17
311480,66586,100,2
311480,66586,447,7
311480,1000,447,10
311480,65535,447,2
311480,66586,99,8
311480,66586,92,20
311480,66586,90,5
311480,65535,90,13
311480,1000,61,5
311480,65535,61,18
311480,66586,313,35
311480,1000,313,15
311480,66586,314,7
311480,1000,314,24
311480,65535,314,7
311480,65535,312,3
311480,66586,112,4
311480,1000,149,1
311480,65535,149,4
311480,65535,148,8
311480,1000,364,9
311480,65535,364,4
311480,66586,364,2
311480,66586,283,21
311480,65535,289,2
311480,65535,290,10
311480,1000,289,2
311480,66586,144,6
311480,66586,150,14
311480,66586,351,2
311480,66586,337,6
311480,65535,337,20
311480,1000,337,28
311480,66586,255,5
311480,66586,280,4
311480,1000,280,9
311480,65535,280,17
311480,66586,180,4
311480,65535,180,11
311480,1000,180,8
311480,66586,325,11
311480,66586,326,11
311480,66586,252,1
311480,66586,253,20
311480,66586,135,9
311480,66586,136,17
311480,65535,136,16
311480,1000,136,8
311480,66586,312,13
311480,1000,312,5
311480,65535,127,28
311480,1000,281,30
311480,65535,281,31
311480,66586,281,7
311480,66586,279,11
311480,65535,279,5
311480,1000,279,11
311480,65535,118,24
311480,66586,185,10
311480,65535,185,29
311480,66586,310,4
311480,66586,128,20
311480,1000,79,11
311480,65535,79,12
311480,1000,328,7
311480,65535,328,13
311480,1000,80,7
311480,65535,80,3
311480,65535,128,24
311480,65535,313,10
311480,1000,255,3
311480,66586,256,12
311480,1000,256,6
311480,1000,353,16
311480,65535,353,8
311480,1000,201,7
311480,65535,201,7
311480,1000,292,36
311480,65535,292,13
311480,65535,349,22
311480,1000,246,9
311480,65535,246,17
311480,65535,348,22
311480,1000,350,22
311480,65535,350,20
311480,1000,321,20
311480,65535,321,6
311480,65535,322,9
311480,1000,44,7
311480,65535,44,3
311480,1000,291,16
311480,65535,291,5
311480,65535,258,12
311480,65535,47,4
311480,1000,259,27
311480,65535,259,13
311480,65535,260,20
311480,1000,120,35
311480,65535,355,3
311480,1000,187,6
311480,65535,187,4
311480,1000,145,2
311480,65535,145,4
311480,1000,241,3
311480,65535,241,2
311480,1000,146,4
311480,65535,146,1
311480,1000,144,55
311480,65535,144,13
311480,1000,295,21
311480,65535,295,27
311480,65535,294,18
311480,65535,367,3
311480,65535,366,9
311480,1000,188,5
311480,65535,188,5
311480,1000,296,40
311480,65535,296,26
311480,1000,356,10
311480,65535,356,5
311480,1000,354,5
311480,65535,354,3
311480,66586,286,7
311480,66586,261,5
311480,66586,262,2
311480,66586,172,19
311480,66586,382,13
311480,65535,62,10
311480,1000,81,4
311480,65535,132,32
311480,65535,81,24
311480,65535,119,1
311480,66586,82,8
311480,66586,213,15
311480,66586,214,3
311480,65535,214,3
311480,1000,214,19
311480,66586,422,1
311480,66586,225,15
311480,65535,225,43
311480,66586,223,23
311480,65535,223,2
311480,66586,321,3
311480,1000,151,6
311480,66586,402,2
311480,1000,402,1
311480,1000,344,25
311480,65535,344,41
311480,1000,56,15
311480,65535,56,17
311480,65535,219,4
311480,65535,318,5
311480,1000,396,12
311480,65535,396,2
311480,1000,227,8
311480,66586,27,24
311480,65535,27,26
311480,66586,317,1
311480,1000,317,7
311480,65535,317,4
311480,65535,256,7
311480,65535,176,3
311480,65535,345,2
311480,65535,210,5
311480,66586,197,1
311480,1000,197,7
311480,65535,197,2
311480,66586,149,1
311480,66586,94,13
311480,65535,94,7
311480,1000,94,19
311480,66586,137,1
311480,1000,31,18
311480,65535,171,7
311480,1000,171,11
311480,66586,173,2
311480,65535,173,3
311480,1000,173,3
311480,66586,374,13
311480,66586,372,47
311480,66586,373,3
311480,66586,120,6
311480,66586,121,3
311480,1000,121,21
311480,1000,185,29
311480,66586,275,8
311480,66586,274,2
311480,66586,192,7
311480,66586,246,15
311480,66586,205,1
311480,1000,205,9
311480,65535,205,16
311480,66586,204,3
311480,1000,204,4
