carrier,freq,cid,count
310260,126510,317,493
310260,43,1125,1202
310260,126510,311,1261
310260,43,5035,1401
310260,126510,203,1431
310260,487,2300,65
310260,487,47090,94
310260,487,47291,90
310260,43,2300,165
310260,206,66786,298
310260,206,1125,1293
310260,126510,160,221
310260,495,66786,111
310260,495,1125,122
310260,443,66786,394
310260,443,1125,1114
310260,443,5035,612
310260,496,66786,37
310260,496,1125,140
310260,126510,87,327
310260,126510,74,341
310260,319,66786,127
310260,319,1125,338
310260,319,5035,162
310260,126510,234,681
310260,74,66786,46
310260,74,1125,111
310260,74,68886,60
310260,512190,74,51
310260,468,66786,99
310260,468,1125,435
310260,493,66786,60
310260,493,1125,153
310260,126510,62,495
310260,126510,386,15
310260,126510,429,55
310260,43,66786,352
310260,126510,159,46
310260,96,66786,104
310260,96,1125,627
310260,96,5035,343
310260,489,2300,17
310260,489,47090,27
310260,489,47291,25
310260,96,2300,43
310260,490,2300,51
310260,490,47090,71
310260,490,47291,68
310260,293,66786,109
310260,293,1125,364
310260,293,5035,169
310260,400,66786,57
310260,400,1125,67
310260,62,66786,80
310260,62,1125,170
310260,62,68886,76
310260,512190,62,88
310260,87,66786,51
310260,87,1125,119
310260,87,68886,51
310260,512190,87,74
310260,512190,190,73
310260,190,66786,50
310260,190,1125,122
310260,190,68886,55
310260,120,1125,8
310260,121,66786,30
310260,121,1125,33
310260,122,66786,45
310260,122,1125,49
310260,399,66786,55
310260,399,1125,61
310260,401,66786,26
310260,401,1125,44
310260,490,1125,23
310260,463,2300,44
310260,463,5035,213
310260,203,2300,275
310260,203,1125,970
310260,203,68886,720
310260,203,5035,419
310260,443,2300,121
310260,494,2300,20
310260,494,1125,119
310260,482,66786,107
310260,482,1125,137
310260,480,66786,88
310260,480,1125,143
310260,481,66786,36
310260,481,1125,70
310260,279,66786,280
310260,279,1125,817
310260,279,5035,485
310260,234,66786,85
310260,234,1125,257
310260,234,68886,289
310260,512190,234,91
310260,234,5035,135
310260,477,2300,71
310260,477,1125,68
310260,203,66786,135
310260,463,66786,99
310260,482,2300,31
310260,319,2300,37
310260,74,2300,20
310260,496,2300,10
310260,495,2300,13
310260,206,2300,54
310260,487,1125,32
310260,487,66786,19
310260,126510,190,173
310260,493,2300,6
310260,468,2300,14
310260,401,2300,19
310260,494,66786,61
310260,126510,40,5
310260,180,8665,8
310260,311,66786,75
310260,311,1125,235
310260,311,68886,192
310260,512190,311,65
310260,476,2300,73
310260,476,1125,72
310260,279,2300,186
310260,311,2300,144
310260,234,2300,167
310260,469,2300,82
310260,469,1125,84
310260,480,2300,54
310260,481,2300,34
310260,126510,307,5
310260,160,1125,23
