carrier,serving_cellset,count
310260,126510-317/43-1125,71
310260,126510-311/43-1125,144
310260,126510-311/43-1125/43-5035,81
310260,126510-203/43-1125,206
310260,487-2300/487-47090/487-47291,43
310260,487-2300/487-47090/487-47291/487-47090,4
310260,43-2300/43-1125/43-5035,65
310260,206-66786/206-1125/43-5035,242
310260,126510-203/206-1125,204
310260,126510-203/206-1125/43-5035,101
310260,126510-160/206-1125,18
310260,126510-160/206-1125/43-5035,17
310260,126510-311/206-1125,159
310260,495-66786/495-1125,109
310260,443-66786/443-1125/443-5035,291
310260,126510-311/443-1125,144
310260,496-66786/496-1125,28
310260,126510-311/496-1125,45
310260,126510-87/496-1125,43
310260,126510-74/496-1125,14
310260,126510-74/443-1125,26
310260,319-66786/319-1125/319-5035,78
310260,126510-74/319-1125,77
310260,126510-74/319-1125/319-5035,14
310260,126510-160/319-1125,7
310260,126510-160/319-1125/319-5035,6
310260,126510-234/319-1125,50
310260,74-66786,6
310260,74-66786/74-1125/74-68886,34
310260,512190-74/74-1125,32
310260,468-66786/468-1125,78
310260,126510-74/468-1125,78
310260,126510-87/468-1125,84
310260,493-66786/493-1125,54
310260,126510-62/493-1125,6
310260,126510-87/493-1125,63
310260,126510-62/206-1125,76
310260,126510-386/206-1125,7
310260,126510-311/206-1125/43-5035,80
310260,126510-317/206-1125,45
310260,126510-429/206-1125,11
310260,126510-429/206-1125/43-5035,9
310260,126510-74/206-1125,32
310260,126510-74/206-1125/43-5035,11
310260,126510-317/206-1125/43-5035,33
310260,43-66786/43-1125/43-5035,212
310260,126510-159/43-1125,13
310260,126510-159/43-1125/43-5035,12
310260,96-66786/96-1125/96-5035,73
310260,126510-203/96-1125,69
310260,489-2300/489-47090/489-47291,16
310260,96-2300/96-1125/96-5035,36
310260,490-2300/490-47090/490-47291,37
310260,293-66786/293-1125/293-5035,87
310260,126510-62/293-1125,88
310260,400-66786/400-1125,55
310260,293-66786,14
310260,62-66786/62-1125/62-68886,68
310260,512190-62/62-1125,71
310260,87-66786/87-1125/87-68886,48
310260,512190-87/87-1125,44
310260,512190-190/87-1125,9
310260,190-66786/190-1125/190-68886,45
310260,512190-190/190-1125,53
310260,512190-190/190-1125/120-1125,1
310260,121-66786/121-1125,29
310260,512190-87/62-1125,17
310260,122-66786/122-1125,45
310260,399-66786/399-1125,55
310260,401-66786/401-1125,26
310260,490-2300/490-47090/490-47291/490-1125,10
310260,43-2300/43-1125/43-5035/43-5035,4
310260,43-2300/43-1125/43-5035/43-5035/43-5035,3
310260,43-2300/43-1125/43-5035/43-5035/43-5035/43-5035,1
310260,463-2300/463-5035,21
310260,203-2300/203-1125/203-68886,42
310260,203-2300/203-1125/203-68886/203-5035,22
310260,203-2300/203-1125/203-68886/203-5035/203-1125,13
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886,12
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035,8
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125,4
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886,4
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035,4
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035,1
