carrier,freq,cid,count
310260,66736,453,353513
310260,66736,22,120678
310260,1003,339,107208
310260,1003,248,333287
310260,1003,103,193449
310260,1003,372,56302
310260,126270,382,130214
310260,126270,114,12640
310260,126270,436,21881
310260,1200,453,1143
310260,66736,134,144169
310260,66736,68,308249
310260,126270,172,9505
310260,126270,700,179829
310260,126270,71,49516
310260,66736,161,13256
310260,126270,452,133764
310260,66736,13,11341
310260,66736,151,10
310260,66736,286,36
310260,126270,708,101792
310260,126270,53,11619
310260,66736,51,26708
310260,66736,269,65739
310260,66736,180,25200
310260,66736,364,136
310260,126270,711,30861
310260,66736,350,61978
310260,66736,116,32473
310260,66736,446,135
310260,66736,95,46
310260,66736,468,54070
310260,66736,490,21
310260,66736,145,22
310260,66736,302,6406
310260,66736,16,117839
310260,66736,442,63
310260,66736,305,209
310260,66736,471,63
310260,66736,272,567
310260,66736,315,345
310260,66736,378,1384
310260,66736,486,23
310260,66736,349,77
310260,66736,381,25
310260,66736,61,25
310260,66736,482,14
310260,66736,214,22
310260,66736,481,8
310260,66736,352,185
310260,520110,547,30546
310260,520110,680,25773
310260,520110,880,18072
310260,66736,140,72
310260,520110,522,4941
310260,520110,744,1740
310260,Unknown,547,553
310260,Unknown,382,178
310260,Unknown,880,162
310260,Unknown,700,120
310260,126270,210,89429
310260,129870,10,15
310260,129870,9,17
310260,1003,190,79717
310260,1003,449,73
310260,1003,393,1879
310260,66736,60,1673
310260,1003,301,172
310260,1003,233,134236
310260,1003,284,65690
310260,1003,29,35741
310260,1003,275,12
310260,1003,314,158
310260,126270,798,2147
310260,1003,290,983
310260,1003,349,13
310260,1003,16,111
310260,1003,123,3447
310260,126270,359,8001
310260,126270,371,1974
310260,1003,332,67
310260,126270,509,3761
310260,1003,495,21
310260,1003,443,128
310260,1003,249,2708
310260,1003,224,136
310260,1003,441,31297
310260,1200,134,1315
310260,67011,215,34225
310260,520110,626,4786
310260,520110,209,17084
310260,520110,14,1886
310260,520110,735,17079
310260,520110,531,24528
310260,520110,57,11318
310260,520110,651,8369
310260,5035,158,318
310260,520110,335,17700
310260,67011,482,17849
310260,5035,219,133
310260,5035,170,61
310260,5035,96,72
310260,520110,344,5596
310260,520110,687,11652
310260,520110,6,554
310260,520110,123,5216
310260,520110,135,13241
310260,520110,840,7248
310260,520110,835,175
310260,67011,137,16377
310260,67011,186,3056
310260,67011,322,24898
310260,67011,111,1966
310260,66736,30,65
310260,67011,25,17358
310260,66736,201,354
310260,68661,299,1517
310260,66736,69,35
310260,66736,200,356
310260,67011,456,420
310260,66736,178,49
310260,66736,119,8
310260,520110,746,1331
310260,Unknown,680,483
310260,66736,433,89
310260,66736,109,71
310260,66736,219,94
310260,66736,294,137
310260,66736,371,197
310260,66736,123,804
310260,67011,404,9858
310260,1003,348,895
310260,67011,342,8357
310260,67011,327,8179
310260,67011,435,9
310260,1003,276,15976
310260,67011,467,17
310260,520110,668,1101
310260,Unknown,531,212
310260,Unknown,135,162
310260,Unknown,335,301
310260,Unknown,123,54
310260,Unknown,209,301
310260,Unknown,57,430
310260,Unknown,687,145
310260,Unknown,14,21
310260,Unknown,651,327
310260,Unknown,711,3
310260,Unknown,708,5
310260,Unknown,798,1
310260,66736,493,25
310260,66736,245,34
310260,66736,184,70
310260,66736,190,20
310260,1200,16,247
310260,66736,399,22
310260,66736,343,80
310260,66736,488,193
310260,66736,280,57
310260,66736,74,43
310260,5035,112,20
310260,66736,5,43
310260,520110,213,5
310260,66736,56,59
310260,520110,274,448
310260,1200,68,1235
310260,1003,71,21277
310260,1003,95,23963
310260,1003,274,63
310260,520110,321,114
310260,527790,836,92
310260,66736,452,32
310260,66736,158,63
310260,66736,359,48
310260,520110,724,2589
310260,66736,413,134
310260,1003,397,232
310260,1003,380,31
310260,1003,299,16
310260,1003,27,25
310260,66736,298,48
310260,126270,333,3047
310260,66736,196,58
310260,66736,148,28
310260,1003,198,23
310260,66736,117,200
310260,66736,405,16
310260,1003,410,25
310260,66736,423,27
310260,66736,249,62
310260,66736,312,77
310260,66736,182,39
310260,66736,310,42
310260,1003,371,515
310260,66736,185,27
310260,66736,213,26
310260,66736,71,84
310260,66736,106,359
310260,66736,252,26
310260,66736,19,45
310260,66736,411,10
310260,66736,187,22
310260,66736,265,145
310260,66736,393,132
310260,66736,81,34
310260,66736,372,67
310260,66736,44,100
310260,66736,234,28
310260,66736,84,10
310260,Unknown,735,353
310260,520110,846,2893
310260,1003,30,99
310260,66736,89,26
310260,66736,299,304
310260,68661,314,214
310260,68661,86,292
310260,67011,315,11
310260,67011,159,8
310260,67011,189,1194
310260,Unknown,626,53
310260,66736,20,11
310260,Unknown,840,11
310260,520110,341,175
310260,66736,495,310
310260,66736,282,192
310260,527790,765,5
310260,66736,23,247
310260,66736,329,83
310260,1003,141,4169
310260,66736,193,93
310260,Unknown,522,18
310260,5035,254,1
310260,66736,31,31
310260,520110,663,4132
310260,Unknown,663,9
310260,Unknown,724,22
310260,Unknown,436,16
310260,Unknown,71,22
310260,66736,128,56
310260,66736,332,36
310260,66736,174,162
310260,66736,212,222
310260,520110,546,147
310260,1003,480,283
310260,1475,215,240
310260,1003,398,27
310260,68661,349,477
310260,68661,237,250
310260,68661,408,421
310260,68661,105,115
310260,67011,311,24
310260,67011,9,16
310260,67011,353,8793
310260,67011,359,14
310260,67011,29,181
310260,1003,62,74
310260,520110,873,142
310260,67011,47,47
310260,67011,422,162
310260,67011,297,16
310260,66736,177,3018
310260,67011,168,305
310260,520110,15,19
310260,520110,716,208
310260,67011,218,16
310260,67011,66,32
310260,67011,180,16
310260,67011,386,16
310260,66736,448,28
310260,68661,392,50
310260,66736,62,28
310260,66736,377,12
310260,1003,153,40
310260,68661,411,23
310260,126270,17,4045
310260,66736,450,801
310260,66736,416,121
310260,66736,17,183
310260,66736,132,50
310260,Unknown,746,28
310260,520110,4,13
310260,Unknown,744,14
310260,Unknown,452,24
310260,Unknown,114,6
310260,66736,428,94
310260,1200,22,682
310260,66736,138,85
310260,68661,301,242
310260,67011,417,8076
310260,1475,322,333
310260,5035,178,111
310260,Unknown,836,4
310260,520110,203,32
310260,67011,285,455
310260,66736,12,21
310260,67011,254,10
310260,68661,122,1
310260,67011,331,16
310260,67011,323,12
310260,1003,235,18
310260,67011,455,14
310260,67011,121,48
310260,67011,89,10
310260,67011,50,5928
310260,1475,137,126
310260,67011,299,86
310260,5035,257,27
310260,68661,489,52
310260,520110,223,13
310260,67011,400,12
310260,67011,274,15
310260,67011,22,63
310260,67011,499,65
310260,67011,239,14
310260,67011,70,121
310260,67011,440,11
310260,67011,118,23
310260,67011,434,83
310260,39948,327,7409
310260,39948,431,8880
310260,39750,327,4024
310260,39750,431,4058
310260,39750,241,3011
310260,39948,241,3052
310260,39948,293,434
310260,39750,28,4528
310260,39948,350,3062
310260,39948,28,9220
310260,39750,293,26
310260,66736,418,20
310260,66736,251,33
310260,66736,478,64
310260,66736,470,45
310260,520110,563,5
310260,520110,233,67
310260,66736,223,15
310260,1003,334,8
310260,66736,323,66
310260,66736,244,16
310260,66736,47,48
310260,66736,204,75
310260,66736,331,11
310260,1200,350,58
310260,66736,461,35
310260,66736,400,18
310260,66736,141,69
310260,66736,289,18
310260,66736,99,8
310260,66736,154,21
310260,66736,259,19
310260,67011,365,25
310260,67011,68,35
310260,66736,479,41
310260,66736,131,18
310260,67011,480,10
310260,66736,338,46
310260,66736,284,74
310260,67011,275,29
310260,67011,357,23
310260,67011,374,38
310260,66736,419,29
310260,66736,254,16
310260,66736,261,75
310260,66736,45,178
310260,66736,216,129
310260,66736,66,87
310260,66736,293,56
310260,66736,347,30
310260,66736,179,66
310260,66736,402,25
310260,66736,426,18
310260,66736,375,131
310260,66736,152,147
310260,66736,160,47
310260,66736,150,111
310260,129870,738,10
310260,129870,11,5
310260,129870,377,5
310260,1003,128,46
310260,520110,246,25
310260,527790,651,45367
310260,66736,362,27
310260,66736,440,85
310260,1003,325,31
310260,67011,133,270
310260,1003,231,66
310260,1003,145,73
310260,67011,339,14
310260,Unknown,846,2
310260,1003,283,15
310260,67011,152,36
