carrier,freq,cid,count
310260,1200,453,1143
310260,1003,248,1226
310260,1200,134,1315
310260,66736,453,54
310260,66736,134,26
310260,1200,16,247
310260,66736,68,71
310260,1200,68,1235
310260,1475,215,240
310260,66736,22,17
310260,1200,22,682
310260,67011,322,13
310260,1475,322,333
310260,67011,215,2
310260,67011,137,1
310260,1475,137,126
310260,39948,293,1
310260,1200,350,58
310260,1003,339,26
310260,1003,103,222
310260,39750,28,1
310260,1003,190,4
310260,39750,431,2
310260,39750,327,1
310260,1003,233,630
310260,67011,25,3
310260,1475,25,435
310260,700,248,116
310260,66736,16,9
310260,1200,468,21
310260,39948,28,3
310260,1003,95,1
310260,67011,404,1
310260,1475,404,1
310260,39948,431,3
310260,66736,350,1
310260,700,339,2
310260,1003,284,3
310260,1200,116,9
310260,1475,342,2
310260,1200,269,1
310260,39948,327,4
310260,39948,241,2
310260,1200,180,4
310260,66736,116,1
310260,700,233,1
310260,700,441,1
