carrier,freq,cid,count
310260,1200,453,1143
310260,126270,382,343
310260,126270,53,8
310260,126270,708,71
310260,520110,880,324
310260,520110,547,1070
310260,1003,339,227
310260,126270,700,254
310260,129870,9,1
310260,1003,248,1872
310260,520110,522,49
310260,66736,68,582
310260,126270,798,2
310260,1200,134,1315
310260,520110,531,1532
310260,1003,233,1306
310260,66736,453,55
310260,66736,134,172
310260,126270,711,10
310260,67011,215,182
310260,520110,209,291
310260,1200,16,247
310260,520110,135,406
310260,520110,57,130
310260,520110,344,57
310260,1200,68,1235
310260,68661,299,163
310260,520110,680,500
310260,520110,335,507
310260,520110,663,44
310260,126270,452,106
310260,126270,359,8
310260,1475,215,240
310260,126270,71,59
310260,520110,744,2
310260,66736,22,29
310260,1200,22,682
310260,67011,322,99
310260,1003,103,585
310260,1475,322,333
310260,67011,137,1
310260,1475,137,126
310260,1003,29,9
310260,68661,86,8
310260,39948,293,1
310260,68661,349,94
310260,1003,190,166
310260,520110,651,1
310260,520110,735,6
310260,520110,746,1
310260,1200,350,58
310260,5035,158,53
310260,126270,436,28
310260,520110,846,4
310260,39750,28,1
310260,520110,123,9
310260,68661,301,25
310260,527790,651,19
310260,39750,431,2
310260,39750,327,1
310260,527790,531,293
310260,527790,880,131
310260,527790,547,140
310260,527790,135,2
310260,527790,335,46
310260,527790,680,95
310260,527790,209,62
310260,527790,57,93
310260,527790,522,12
310260,126270,210,131
310260,527790,687,12
310260,527790,735,2
310260,700,248,197
310260,67011,25,3
310260,1475,25,435
310260,5035,112,1
310260,520110,724,29
310260,66736,16,116
310260,1200,468,21
310260,39948,28,3
310260,1003,95,1
310260,520110,687,8
310260,67011,404,1
310260,1475,404,1
310260,39948,431,3
310260,126270,333,5
310260,66736,350,1
310260,700,339,9
310260,527790,123,1
310260,126270,114,8
310260,126270,172,1
310260,1003,284,3
310260,527790,663,7
310260,1200,116,9
310260,126270,509,1
310260,1475,342,2
310260,1200,269,1
310260,39948,327,4
310260,126270,371,3
310260,39948,241,2
310260,126270,837,2
310260,1200,180,4
310260,66736,116,1
310260,527790,724,1
310260,700,103,1
310260,1003,441,1
310260,700,233,1
310260,700,441,1
