carrier,freq,cid,count
310410,850,447,753
310410,850,192,26
310410,5145,401,77
310410,850,70,42
310410,850,366,5
310410,5145,387,23
310410,66486,27,1
310410,66486,28,4
310410,2000,70,112
310410,2000,365,35
310410,9820,47,34
310410,5145,267,14
310410,5145,253,137
310410,2000,48,19
310410,2000,222,32
310410,5145,449,199
310410,5145,290,23
310410,850,197,39
310410,5145,406,25
310410,2000,28,20
310410,2000,27,34
310410,5145,331,92
310410,66736,178,2
310410,66661,274,1
310410,2000,42,93
310410,2175,284,28
310410,2175,102,34
310410,2175,329,26
310410,2000,44,164
310410,850,398,153
310410,5145,98,7
310410,5145,91,7
310410,5145,33,3
310410,5145,320,10
310410,5145,439,3
310410,675,320,24
310410,2200,212,15
310410,2200,420,8
310410,2200,397,21
310410,9820,59,76
310410,2200,396,11
310410,5145,380,57
310410,5145,186,35
310410,850,412,44
310410,2000,102,95
310410,2000,23,51
310410,5145,29,3
310410,5145,394,92
310410,5145,395,32
310410,2200,54,32
310410,2175,274,3
310410,2200,29,5
310410,66686,54,5
310410,2200,8,2
310410,5145,245,35
310410,5145,217,39
310410,9820,217,8
310410,850,411,4
310410,9820,218,7
310410,5145,218,53
310410,5145,191,48
310410,5145,243,6
310410,1150,411,34
310410,2000,95,38
310410,5110,43,45
310410,675,309,9
310410,5110,309,26
310410,5110,193,6
310410,66686,301,7
310410,2200,448,17
310410,2200,301,55
310410,2000,72,29
310410,66661,403,2
310410,2175,104,16
310410,2175,403,4
310410,5110,206,32
310410,5110,198,4
310410,5145,447,145
310410,5145,338,66
310410,2425,102,70
310410,2000,230,10
310410,5145,271,22
310410,2000,405,6
310410,5145,270,4
310410,5145,358,12
310410,2175,85,6
310410,850,172,27
310410,850,198,4
310410,850,155,10
310410,850,496,30
310410,850,497,24
310410,850,495,20
310410,850,291,23
310410,850,284,16
310410,850,262,21
310410,850,261,11
310410,850,263,25
310410,5145,263,10
310410,2175,36,14
310410,2175,89,3
310410,2175,65,5
310410,5145,316,31
310410,9820,38,8
310410,2000,171,2
310410,5145,336,4
310410,5145,315,5
310410,2175,63,6
310410,2175,317,1
310410,850,35,5
310410,5145,317,2
310410,5145,287,4
310410,5145,285,4
310410,5145,286,3
310410,1150,436,9
310410,1150,176,7
310410,1150,322,7
310410,2000,447,11
310410,2175,432,1
310410,5145,351,3
310410,5145,370,18
310410,66486,357,1
310410,850,491,5
310410,850,3,2
310410,850,126,1
310410,5110,458,5
310410,5110,360,3
310410,5110,351,12
310410,9820,46,38
310410,2175,427,38
310410,5145,386,19
310410,5145,466,26
310410,5145,15,710
310410,5145,399,60
310410,5145,420,358
310410,2000,22,34
310410,850,400,38
310410,850,350,49
310410,5145,400,29
310410,9820,71,10
310410,2000,33,17
310410,66486,72,1
310410,5145,411,22
310410,5145,390,28
310410,2175,282,11
310410,2000,21,38
310410,850,401,10
310410,850,413,1690
310410,5145,422,188
310410,2425,363,239
310410,1150,413,176
310410,66486,102,17
310410,2175,351,44
310410,9820,57,8
310410,2425,70,63
310410,66661,351,5
310410,66486,42,20
310410,66486,48,5
310410,66686,421,5
310410,675,156,19
310410,850,298,5
310410,850,16,50
310410,1150,88,49
310410,66686,212,2
310410,675,493,19
310410,66686,396,8
310410,675,251,3
310410,66686,26,3
310410,675,26,8
310410,66686,300,1
310410,2200,261,24
310410,5145,268,20
310410,2000,40,9
310410,2000,450,9
310410,66486,450,3
310410,2000,41,12
310410,1025,218,11
310410,675,43,44
310410,675,147,16
310410,5110,240,14
310410,1025,243,8
310410,675,240,7
310410,66661,48,2
310410,2000,428,9
310410,675,243,23
310410,5110,147,1
310410,675,6,13
310410,5110,373,19
310410,5110,285,15
310410,675,285,7
310410,9820,206,10
310410,9820,85,13
310410,675,204,13
310410,675,119,6
310410,5110,119,3
310410,5110,13,12
310410,5110,388,16
310410,5110,174,2
310410,5110,161,4
310410,5110,171,2
310410,9820,419,6
310410,9820,388,6
310410,9820,418,2
310410,67086,238,5
310410,67086,366,5
310410,2425,366,3
310410,5110,377,9
310410,5110,56,8
310410,675,366,9
310410,675,318,3
310410,2175,318,1
310410,675,377,10
310410,5110,277,14
310410,9820,277,2
310410,9820,32,3
