pcell,freq,thres_a1,thres_a2,count
850-416,66461_S,-19.5,-17.0,1,
850-115,5110_S,-19.5,-17.0,1,
850-81,5110_S,-19.5,-17.0,1,
850-81,66461_S,-19.5,-17.0,1,
850-89,5110_S,-19.5,-17.0,1,
5110-154,850_S,-19.5,-17.0,1,
5110-455,850_S,-19.5,-17.0,1,
9820-203,850_S,-19.5,-17.0,1,
5110-80,850_S,-19.5,-17.0,1,
9820-143,66461_S,-19.5,-18.0,1,
850-94,66461_S,-19.5,-17.0,1,
5110-411,850_S,-19.5,-17.0,1,
5110-445,850_S,-19.5,-17.0,1,
5110-27,850_S,-19.5,-17.0,1,
66461-344,9820_S,-19.5,-18.0,1,
5110-397,850_S,-19.5,-17.0,1,
5110-119,850_S,-19.5,-17.0,1,
850-98,5110_S,-19.5,-17.0,1,
850-164,5110_S,-19.5,-17.0,1,
850-437,5110_S,-19.5,-17.0,1,
5110-465,850_S,-19.5,-17.0,1,
850-29,5110_S,-19.5,-17.0,1,
5110-298,850_S,-19.5,-17.0,1,
850-308,66461_S,-19.5,-17.0,1,
850-234,5110_S,-19.5,-17.0,1,
850-210,66461_S,-19.5,-17.0,1,
850-35,5110_S,-19.5,-17.0,1,
5110-471,850_S,-19.5,-17.0,1,
850-122,5110_S,-19.5,-17.0,1,
850-238,5110_S,-19.5,-17.0,1,
850-70,5110_S,-19.5,-17.0,1,
