dataset,operator,start_time,end_time,pcell_num,cell_num,lte_cell_num,nr_cell_num,serving_cell_num,lte_serving_cell_num,nr_serving_cell_num,serving_cellset_num,lte_only_serving_cellset_num,nr_lte_serving_cellset_num,serving_cellset_unique_num,lte_only_serving_cellset_unique_num,nr_lte_serving_cellset_unique_num
indy,att,2021/04,2022/01,507,4083,3453,630,1399,964,435,25313,15220,10093,4100,1426,2674
indy,verizon,2021/04,2022/01,732,4405,3833,572,1297,1143,154,39037,25568,13469,4184,1493,2691
indy,tmobile,2021/04,2022/01,213,1943,1661,282,322,235,87,12691,5825,6866,1258,212,1046
chicago,att,2021/06,2021/10,1043,4943,4602,341,2255,2001,254,40762,24282,16480,7036,1838,5198
chicago,verizon,2021/06,2021/10,769,5539,4351,1188,2351,1970,381,49557,31678,17879,6246,2221,4025
chicago,tmobile,2021/06,2021/10,713,2267,1911,356,965,767,198,10205,5837,4368,2042,710,1332
la,att,2019/05,2021/05,1389,5211,5180,31,2471,2450,21,24356,22020,2336,9483,8913,570
la,verizon,2019/05,2021/05,953,1670,1670,0,1642,1642,0,17750,17750,0,5248,5248,0
la,tmobile,2019/05,2021/05,2125,4743,4704,39,2900,2869,31,32792,26713,6079,10107,9696,411
wl,att,2019/04,2023/01,1831,3406,3406,0,2562,2562,0,49662,49662,0,10629,10629,0
wl,verizon,2019/04,2023/01,1389,2311,2311,0,2184,2184,0,39356,39356,0,8166,8166,0
wl,tmobile,2019/04,2023/01,1712,3162,3048,114,1918,1866,52,23131,16204,6927,4129,3567,562
cn,china mobile,2019/05,2019/08,4274,4566,4566,0,4352,4352,0,51408,51408,0,7489,7489,0
